Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,"11,442","11,628","11,814","11,976","12,144","12,287","12,525","12,691","12,945","13,241","13,529","13,471","13,690","14,092","14,563"
Austria,AUT,"4,205","4,220","4,246","4,293","4,336","4,358","4,400","4,490","4,508","4,539","4,559","4,540","4,590","4,664","4,724"
Belgium,BEL,"4,800","4,895","4,856","4,893","4,947","4,967","4,973","4,976","4,992","5,056","5,106","5,085","5,178","5,284","5,323"
Canada,CAN,"18,304","18,490","18,670","18,871","19,075","19,126","19,242","19,372","19,658","19,884","20,275","19,973","20,484","20,791","21,326"
Chile,CHL,"7,300","7,998","8,306","8,428","8,559","8,720","8,855","8,996","9,241","9,484","9,671","8,808","9,109","9,619","9,934"
Colombia,COL,"20,375","21,138","21,735","22,365","22,567","22,913","23,405","23,689","24,062","24,419","24,809","23,731","23,655","24,814","25,365"
Costa Rica,CRI,"2,000.84","2,021","2,041","2,214","2,236","2,284","2,276","2,206","2,256","2,360","2,465","2,407","2,441","2,454","2,300"
Czechia,CZE,"5,274","5,269","5,223","5,257","5,306","5,298","5,310","5,350","5,377","5,415","5,412","5,372","5,364","5,293","5,195"
Denmark,DNK,"2,905","2,885","2,884","2,869","2,846","2,862","2,890","2,936","2,961","2,985","3,030","3,023","3,063","3,133","3,179"
Estonia,EST,687,682,688,683,680,674,683,691,699,702,703,705,697,721,748
Finland,FIN,"2,678","2,672","2,682","2,690","2,676","2,679","2,689","2,685","2,707","2,742","2,750","2,741","2,785","2,830","2,852"
France,FRA,"28,132","28,236","28,248","28,482","28,625","29,402","29,496","29,549","29,587","29,700","29,625","29,346","30,093","30,576","30,852"
Germany,DEU,"41,699","40,837","41,185","41,350","41,712","41,959","42,158","43,039","43,283","43,381","43,771","43,517","42,961","43,854","44,403"
Greece,GRC,"5,041","5,029","4,936","4,890","4,843","4,811","4,808","4,805","4,780","4,743","4,730","4,630","4,606","4,729","4,715"
Hungary,HUN,"4,166","4,202","4,225","4,300","4,334","4,444","4,518","4,586","4,613","4,642","4,672","4,658","4,838","4,885","4,941"
Iceland,ISL,179,179,179,179,183,187,191,196,199,204,208,206,210,219,228
Ireland,IRL,"2,306","2,253","2,231","2,224","2,246","2,256","2,283","2,327","2,352","2,395","2,443","2,431","2,587","2,716","2,805"
Italy,ITA,"24,605","24,582","24,659","25,256","25,259","25,514","25,497","25,769","25,929","25,969","25,941","25,214","24,921","25,127","25,527"
Japan,JPN,"66,500","66,318","65,955","65,652","65,928","66,088","66,251","66,785","67,323","68,492","69,122","69,023","69,073","69,019","69,252"
Korea,LVA,"24,582","24,956","25,389","25,781","26,108","26,836","27,153","27,418","27,748","27,895","28,186","28,012","28,310","28,922","29,203"
Latvia,LTU,"1,101","1,057","1,028","1,031","1,014",992,994,989,980,982,971,972,940,956,951
Lithuania,LUX,"1,528","1,518","1,482","1,473","1,465","1,477","1,469","1,478","1,458","1,465","1,470","1,484","1,473","1,511","1,547"
Luxembourg,MEX,229,231,236,249,254,261,276,278,288,296,306,314,324,327,339
Mexico,NLD,"48,018","48,718","49,722","51,229","51,787","51,924","52,905","53,680","53,520","54,972","56,595","53,305","57,531","59,262","60,585"
Netherlands,NZL,"8,764","8,725","8,726","8,861","8,932","8,895","8,932","8,965","9,042","9,147","9,296","9,338","9,690","9,937","10,139"
New Zealand,NOR,"2,279","2,296","2,325","2,331","2,362","2,441","2,504","2,617","2,715","2,772","2,811","2,861","2,900","2,933","3,045"
Norway,POL,"2,580","2,592","2,620","2,669","2,694","2,721","2,760","2,768","2,759","2,792","2,819","2,827","2,926","2,955","2,999"
Poland,PRT,"17,279","17,123","17,221","17,340","17,361","17,428","17,388","17,259","17,266","17,143","17,488","17,500","17,760","17,762","17,809"
Portugal,SVK,"5,486","5,489","5,426","5,381","5,283","5,224","5,194","5,177","5,218","5,232","5,252","5,164","5,127","5,263","5,402"
Slovak Republic,SVN,"2,690","2,707","2,680","2,707","2,715","2,722","2,738","2,759","2,755","2,746","2,741","2,713","2,748","2,774","2,772"
Slovenia,KOR,"1,042","1,041","1,019","1,013","1,008","1,015","1,008",995,"1,026","1,033","1,028","1,029","1,020","1,027","1,027"
Spain,ESP,"23,260","23,365","23,434","23,443","23,190","22,954","22,922","22,822","22,742","22,807","23,027","22,733","23,310","23,627","24,120"
Sweden,SWE,"4,909","4,950","5,017","5,061","5,116","5,184","5,225","5,279","5,383","5,444","5,508","5,522","5,598","5,678","5,775"
Switzerland,CHE,"4,451","4,420","4,496","4,555","4,611","4,695","4,767","4,842","4,870","4,906","4,922","4,934","4,955","4,957","5,052"
Türkiye,TUR,"24,324","25,288","26,423","27,021","27,960","28,772","29,652","30,523","31,617","32,245","32,524","30,849","32,743","34,317","34,881"
United Kingdom,GBR,"31,556","31,723","31,966","32,264","32,514","32,777","33,065","33,379","33,537","33,823","34,102","34,061","33,932","34,133","34,551"
United States,USA,"154,142","153,889","153,617","154,975","155,389","155,922","157,130","159,187","160,320","162,075","163,539","160,742","161,204","164,287","167,116"
