Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,"44,050.40","44,375.50","46,261.20","48,085.40","53,605.70","54,671.00","54,774.00","56,572.50","56,401.40","58,336.40","59,316.30","62,507.30","64,177.50","67,454.20","70,154.20"
Austria,AUT,"44,839.10","45,716.30","47,743.40","50,032.00","52,617.40","53,597.60","54,970.00","58,013.70","59,356.40","61,507.30","64,604.60","65,772.70","66,701.70","72,903.90","76,126.60"
Belgium,BEL,"49,581.20","51,903.20","53,654.80","55,813.00","57,304.60","58,048.20","58,098.90","59,574.10","61,275.00","63,471.50","66,679.50","68,894.30","69,674.20","76,010.90","81,461.00"
Canada,CAN,"47,993.60","48,124.90","47,906.90","47,967.00","50,653.60","52,261.20","52,562.30","54,016.20","55,349.20","56,774.60","55,721.30","61,816.60","64,208.40","67,855.80","73,101.70"
Chile,CHL,"16,838.70","17,179.30","18,717.10","20,099.60","21,196.80","21,452.60","21,682.00","22,594.80","23,507.00","24,403.40","25,004.80","24,572.30","24,803.80","26,726.30","29,324.80"
Colombia,COL,"10,282.30","10,937.10","11,116.50","10,976.50","11,679.30","12,411.10","11,717.70","12,113.90","12,544.60","13,300.70","13,901.30","13,794.30","14,079.70","16,872.90","16,615.10"
Costa Rica,CRI,"15,014.70","15,884.90","16,729.10","18,078.70","18,831.30","19,675.60","20,355.40","22,217.50","23,076.80","23,471.30","25,063.30","25,258.00","25,490.30","25,960.70","27,695.30"
Czechia,CZE,"20,537.50","21,070.30","22,185.60","22,847.70","23,646.00","24,516.90","24,807.60","26,606.00","28,659.80","30,954.00","33,449.80","33,988.70","35,031.90","37,107.90","38,122.10"
Denmark,DNK,"47,477.50","49,540.50","51,758.80","51,817.00","53,497.10","54,252.60","55,247.10","57,430.50","59,962.80","62,237.70","65,163.50","67,164.20","68,560.40","73,289.90","82,383.20"
Estonia,EST,"18,354.80","18,964.60","20,265.80","21,118.40","22,456.60","23,416.60","24,265.70","26,585.10","28,026.60","29,204.60","31,349.50","32,884.80","34,024.00","35,098.20","36,051.70"
Finland,FIN,"42,882.70","43,746.80","44,810.70","45,584.20","46,884.30","47,071.80","47,665.20","49,702.90","51,137.20","52,803.80","55,004.60","58,422.50","59,670.50","62,420.50","64,832.90"
France,FRA,"39,552.40","40,592.00","42,180.50","42,808.20","45,113.40","46,107.70","46,958.40","48,554.90","49,411.20","51,107.80","54,596.70","53,028.60","55,084.50","59,232.70","60,921.70"
Germany,DEU,"50,055.60","51,840.70","54,897.70","56,399.20","57,951.60","59,783.90","60,530.40","63,911.10","65,656.70","68,570.50","71,129.50","70,344.60","71,712.20","79,179.00","81,439.30"
Greece,GRC,"34,878.10","33,456.30","33,553.20","34,044.20","33,425.60","34,888.40","33,648.00","34,036.20","34,628.80","35,272.60","36,879.90","34,617.00","37,214.10","41,479.20","43,840.10"
Hungary,HUN,"19,080.80","19,870.90","21,289.70","22,608.10","23,481.80","23,593.60","23,935.10","25,321.40","27,423.60","29,604.30","32,618.40","34,701.20","35,100.20","38,236.30","39,916.20"
Iceland,ISL,"41,615.20","39,552.20","41,642.00","44,682.10","48,605.10","51,794.40","54,009.50","59,215.90","61,355.00","61,800.30","64,308.30","64,881.10","65,820.50","73,211.80","76,596.50"
Ireland,IRL,"46,309.30","49,415.40","50,174.30","51,657.00","53,062.80","52,953.60","54,012.10","56,293.00","57,280.60","59,613.30","65,583.60","67,784.60","70,544.60","73,803.10","77,006.10"
Italy,ITA,"35,548.40","36,528.90","38,055.20","39,372.40","40,666.00","41,029.20","41,356.80","43,707.50","44,493.70","45,450.90","47,762.40","49,738.40","49,448.70","51,471.30","52,734.10"
Japan,JPN,"41,902.80","42,727.60","44,869.20","46,927.70","47,734.10","48,251.90","49,134.40","48,699.00","48,955.40","49,990.40","50,100.40","49,622.50","49,852.80","52,942.00","53,672.90"
Korea,KOR,"41,483.50","43,848.50","40,556.70","42,582.00","43,345.00","44,227.40","46,292.70","48,204.70","48,820.50","52,514.50","54,044.60","55,813.90","57,689.50","62,571.20","66,806.50"
