Country Name,Country Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,1.021117328,6.055527167,1.44585192,5.077614645,6.353161025,4.481619482,6.237773348,6.124606749,1.536195526,3.329588051,1.578066835,,,,
Austria,AUT,,,,,,,,,,,,,,,
Belgium,BEL,,,,,,,,,,,,,,,
Canada,CAN,4.833121719,-0.237699891,-0.236773176,1.760110339,1.237716691,1.038638973,3.67453345,1.968905239,0.125752237,,,,,,
Switzerland,CHE,2.282844337,2.413050268,2.739346526,2.622941725,2.778422162,3.365102086,3.996447542,3.248908871,3.006367395,1.849004653,2.739664717,3.357509619,1.376511373,0.145920368,1.822186737
Chile,CHL,3.545972117,-3.768795807,5.587457772,9.223378344,6.846326434,2.121025308,0.534100505,0.982913241,-0.262655301,2.547312161,,,,,
Colombia,COL,8.594547354,5.372224027,4.542964842,8.655350954,8.90797441,8.442949352,8.785473732,9.032095057,8.134491128,7.15306949,7.467547259,8.246607616,1.424587394,0.819154153,13.81899976
Costa Rica,CRI,9.135716342,9.811593181,11.04527389,12.86966435,10.13299571,8.187917606,9.887063287,9.493883461,8.269830327,8.739207219,6.024715568,5.820520183,3.065307094,1.016618065,9.192541675
Czechia,CZE,3.258577084,6.404026198,5.952128878,4.009470324,3.651868522,1.887110784,3.010827113,2.380513351,1.874562608,0.708328266,-0.149541365,-1.121285332,-0.80002465,-4.091328483,-3.21389906
Germany,DEU,,,,,,,,,,,,,,,
Denmark,DNK,,,,,,,,,,,,,,,
Spain,ESP,,,,,,,,,,,,,,,
Estonia,EST,,,,,,,,,,,,,,,
Finland,FIN,,,,,,,,,,,,,,,
France,FRA,,,,,,,,,,,,,,,
United Kingdom,GBR,-1.228910117,-1.072045031,-1.65955031,-1.026900718,-1.576192178,-0.808242607,,,,,,,,,
Greece,GRC,,,,,,,,,,,,,,,
Hungary,HUN,6.56224477,4.929511313,6.270716359,5.937038459,3.387825758,0.727927851,0.123325583,0.758582251,-2.449840292,-3.220353563,-2.855934221,-4.165625787,-3.264501158,-3.130410331,0.481988652
Ireland,IRL,,,,,,,,,,,,,,,
Iceland,ISL,7.385020293,3.655369094,4.463192565,4.72101403,5.901739895,3.457644457,1.466679258,5.843688141,6.260183009,4.212530388,2.386847746,1.675536616,-0.909890205,-1.182799754,5.517036903
Italy,ITA,2.932157757,3.413420208,2.82160351,3.461197426,3.973647986,3.928657805,3.320481576,2.220281914,2.274864132,1.59237084,1.539375726,0.739269304,0.733185623,-1.251162981,-0.875338875
Japan,JPN,2.306032611,3.545761915,3.174489687,2.180076528,1.664021933,-0.459381592,-0.94844123,0.62219276,1.069144407,,,,,,
"Korea, Rep.",KOR,1.969452026,2.700250556,4.418990751,4.092791268,3.588241715,3.326270741,0.337001849,1.354559423,1.2266202,3.164269211,4.321429493,1.218859926,0.117975152,2.978979865,3.06189297
Lithuania,LTU,,,,,,,,,,,,,,,
Luxembourg,LUX,,,,,,,,,,,,,,,
Latvia,LVA,,,,,,,,,,,,,,,
Mexico,MEX,1.730765191,0.869831511,-0.718087415,0.132595618,2.523945474,-0.782518933,0.207059193,-1.247597333,0.717765162,2.695226944,3.939987955,1.645842098,0.386354415,1.579360574,6.827262956
Netherlands,NLD,1.538937533,1.032394287,1.75309023,0.291989328,0.351053363,,,,,,,,,,
Norway,NOR,,,,,1.752027631,3.943147373,6.486376482,4.743909446,-1.032961377,-3.57599603,3.805170871,5.349419417,-14.92287678,-19.44299027,17.81980506
New Zealand,NZL,3.912546195,3.001040799,3.553409306,6.024904933,1.317234333,5.297570118,4.25698894,2.548959802,1.103166662,-1.722922091,,,,,
Poland,POL,,,,,,,,,,,,,,,
Portugal,PRT,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,,,,,,,,,,,,,
Slovenia,SVN,,,,,,,,,,,,,,,
Sweden,SWE,,,,,,,,,,,,,,,
Turkey,TUR,,,,,,,,,,,,,,,
United States,USA,2.617077655,2.010282621,1.162898652,1.36246375,1.522213389,1.482561391,2.310514641,2.537232299,2.26529638,2.554749873,3.573062166,2.186281899,-1.258521589,,
