Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,23.01098506,19.79626197,21.43724723,21.4931587,19.97656887,21.08760339,20.06612629,19.27874425,21.25661748,21.89409054,24.159678,24.02673916,22.05667598,25.53158803,26.79924113
Austria,AUT,45.48691068,51.58398211,54.29207688,54.32549244,53.88982099,53.8561571,53.39601227,52.66340208,54.32602968,55.70223947,55.89580739,51.66308997,55.9533597,61.96267341,59.46456662
Belgium,BEL,68.59607707,75.82828987,80.27136435,80.04897213,78.91141344,79.39652058,77.87773922,79.61813171,83.44440505,83.48305672,82.96742754,79.19687056,89.62960592,95.26780182,84.1639883
Canada,CAN,28.51583432,29.16738193,30.67839192,30.35302552,30.33193867,31.73657587,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582,29.47364723,31.21635296,33.84504756,33.36930439
Switzerland,CHE,58.00966904,64.83762801,66.44992365,67.77737305,72.06821362,65.33727012,63.82895575,66.81772593,66.34849029,67.4781861,66.96539368,64.09555716,71.28755618,76.93561539,75.32686523
Chile,CHL,37.1156348,37.90399432,37.68978028,33.84559051,32.08746359,33.00390297,29.19107949,27.92315811,28.33137683,28.52904474,27.87466776,31.33039024,31.9735835,35.51510707,31.13673653
Colombia,COL,16.42449569,16.34084476,19.27650507,18.81120528,18.08643972,16.63474911,15.65021151,14.71713928,15.14528975,15.89971968,15.86803865,13.52227556,16.19700595,20.23240039,17.83729677
Costa Rica,CRI,34.63230503,32.82941135,32.47247088,31.65131734,30.59164936,31.36291528,29.99565786,31.2600963,32.76268315,33.73851078,34.32532156,31.90649766,36.17635703,42.40519611,38.91563204
Czechia,CZE,58.47578447,64.89159802,70.25063761,75.10481048,75.58039545,81.35103521,80.01256714,78.10833301,77.68443262,75.60978149,72.12485114,67.76097323,70.55004514,72.40942814,68.97333708
Germany,DEU,35.44172642,39.48326873,41.62998897,42.66881637,41.66865461,41.6838907,42.60444315,41.6238177,42.32598143,42.60739173,42.38630449,39.16918385,42.65758365,45.78051772,43.40234856
Denmark,DNK,46.99890975,50.59078054,54.08362725,55.08084261,54.92090924,54.83340375,55.81432157,53.7439529,55.34595156,56.98336838,58.95060792,55.03689732,58.82542378,70.54846983,67.95964338
Spain,ESP,22.98539595,25.82781334,29.38841011,31.29973628,32.75545702,33.21933993,33.29868496,33.57703298,34.90039521,34.87481399,34.67556293,30.48102485,33.75708433,39.75513039,38.05925821
Estonia,EST,60.86142182,75.0459409,86.26961752,85.39809037,83.45411064,80.58973523,76.03446023,75.47686216,74.30555838,72.90049516,72.01915435,68.15455341,79.54619179,86.66383666,77.857703
Finland,FIN,36.08330811,38.41304937,38.96739268,38.93491301,38.25019533,36.80600423,35.78157113,35.33333024,38.1663151,39.14922059,40.61831811,36.21434343,39.92177325,46.09580496,42.81538124
France,FRA,25.88094823,27.82648809,29.53884734,30.35567865,30.59128534,30.7418129,31.69349473,31.49821007,32.31183404,32.91798189,32.88955939,28.55722282,31.28804993,36.50366889,34.28003058
United Kingdom,GBR,26.88155103,28.85674267,31.38759406,30.61856843,30.28942477,28.57621473,27.84595067,28.90233952,30.89035103,31.58011136,31.63478028,29.66979576,29.18027479,33.56719447,31.66267713
Greece,GRC,18.72988201,21.72883298,25.30760279,28.96581396,30.32720911,32.51499901,32.18637755,31.17938602,34.77932047,38.63097615,39.56029179,31.4504295,40.2604118,49.01988478,43.70825883
Hungary,HUN,74.22425347,81.10730424,86.07769684,85.87940096,85.41082251,87.12346676,87.52645093,86.40473829,85.91956406,83.75531586,81.52974061,78.67507861,79.94113828,90.41536975,81.20417972
Ireland,IRL,93.55616834,103.2094204,102.2575011,103.6622343,104.7688069,110.3233716,122.9246614,124.1971803,124.8149992,122.9656029,127.2715429,135.4628767,133.0550636,136.6844401,135.0582143
Iceland,ISL,48.71980508,51.74623384,54.54553626,54.92605472,53.24775151,51.51909795,51.65172145,47.48403629,45.73224001,46.04676239,43.71324844,33.30964505,37.27254259,45.69399586,43.64367033
