Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,87,87,88,85,81,80,79,79,77,77,77,77,73,75,75
Austria,AUT,79,79,78,69,69,72,76,75,75,76,77,76,74,71,71
Belgium,BEL,71,71,75,75,75,76,77,77,75,75,75,76,73,73,73
Canada,CAN,87,89,87,84,81,81,83,82,82,81,77,77,74,74,76
Chile,CHL,67,72,72,72,71,73,70,66,67,67,67,67,67,67,66
Colombia,COL,37,35,34,36,36,37,37,37,37,36,37,39,39,39,40
Costa Rica,CRI,53,53,48,54,53,54,55,58,59,56,56,57,58,54,55
Czechia,CZE,49,46,44,49,48,51,56,55,57,59,56,54,54,56,57
Denmark,DNK,93,93,94,90,91,92,91,90,88,88,87,88,88,90,90
Estonia,EST,66,65,64,64,68,69,70,70,71,73,74,75,74,74,76
Finland,FIN,89,92,94,90,89,89,90,89,85,85,86,85,88,87,87
France,FRA,69,68,70,71,71,69,70,69,70,72,69,69,71,72,71
Germany,DEU,80,79,80,79,78,79,81,81,81,80,80,80,80,79,78
Greece,GRC,38,35,34,36,40,43,46,44,48,45,48,50,49,52,49
Hungary,HUN,51,47,46,55,54,54,51,48,45,46,44,44,43,42,42
Iceland,ISL,87,85,83,82,78,79,79,78,77,76,78,75,74,74,72
Ireland,IRL,80,80,75,69,72,74,75,73,74,73,74,72,74,77,77
Italy,ITA,43,39,39,42,43,43,44,47,50,52,53,53,56,56,56
Japan,JPN,77,78,80,74,74,76,75,72,73,73,73,74,73,73,73
South Korea,KOR,55,54,54,56,55,55,54,53,54,57,59,61,62,63,63
Latvia,LVA,45,43,42,49,53,55,56,57,58,58,56,57,59,59,60
Lithuania,LTU,49,50,48,54,57,58,59,59,59,59,60,60,61,62,61
Luxembourg,LUX,82,85,85,80,80,82,85,81,82,81,80,80,81,77,78
Mexico,MEX,33,31,30,34,34,35,31,30,29,28,29,31,31,31,31
Netherlands,NLD,89,88,89,84,83,83,84,83,82,82,82,82,82,80,79
New Zealand,NZL,94,93,95,90,91,91,91,90,89,87,87,88,88,87,85
Norway,NOR,86,86,90,85,86,86,88,85,85,84,84,84,85,84,84
Poland,POL,50,53,55,58,60,61,63,62,60,60,58,56,56,55,54
Portugal,PRT,58,60,61,63,62,63,64,62,63,64,62,61,62,62,61
Slovakia,SVK,45,43,40,46,47,50,51,51,50,50,50,49,52,53,54
Slovenia,SVN,66,64,59,61,57,58,60,61,61,60,60,60,57,56,56
Spain,ESP,61,61,62,65,59,60,58,58,57,58,62,62,61,60,60
Sweden,SWE,92,92,93,88,89,87,89,88,84,85,85,85,85,83,82
Switzerland,CHE,90,87,88,86,85,86,86,86,85,85,85,85,84,82,82
Turkey,TUR,44,44,42,49,50,45,42,41,40,41,39,40,38,36,34
United Kingdom,GBR,77,76,78,74,76,78,81,81,82,80,77,77,78,73,71
United States,USA,75,71,71,73,73,74,76,74,75,71,69,67,67,69,69
