Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,42816.5674,52144.66547,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Austria,AUT,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Belgium,BEL,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Canada,CAN,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Switzerland,CHE,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Chile,CHL,10098.80172,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
Colombia,COL,5250.972924,6398.295845,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6674.596019,6947.359287
Costa Rica,CRI,6832.698299,8265.788203,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681
Czechia,CZE,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
Germany,DEU,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Denmark,DNK,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
Spain,ESP,32279.82085,30658.74223,31824.62191,28456.44382,29218.91052,29694.88749,25969.83831,26740.68518,28367.93926,30592.12648,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128
Estonia,EST,14712.44942,14663.7041,17555.54552,17568.2138,19310.38749,20581.7899,17722.15577,18666.37365,20851.52235,23618.13613,24021.25014,23933.99394,27953.76702,28451.14778,30133.30445
Finland,FIN,47478.34953,46506.2919,51060.32426,47551.67408,49691.01452,50073.77608,42560.34568,43451.25624,46085.01747,49654.2497,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
France,FRA,41728.08842,40694.82117,43929.78409,40863.58144,42669.17951,43148.04593,36702.43237,37024.21571,38687.16264,41418.17665,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
United Kingdom,GBR,38744.13169,39598.95712,42109.64188,42497.3405,43426.29814,47439.61659,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40201.68124,46896.86624,45935.92765,49463.85546
Greece,GRC,29425.45732,26653.0488,25504.78665,21624.34605,21573.34498,21474.72571,17980.72982,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20971.83493,23400.72788
Hungary,HUN,13077.30547,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16131.95404,18755.10235,18353.29836,22141.86698
Ireland,IRL,52133.09092,48679.40268,52692.78131,49411.73875,52619.21237,57278.25909,64311.82347,64292.65997,72499.32687,81248.31354,82508.46599,87567.1149,105561.1375,106194.7559,103887.8004
Iceland,ISL,41301.27322,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74452.18907,68452.23622,59023.56635,69325.90783,75314.08556,79636.95486
Italy,ITA,37388.45371,36184.71187,38851.38813,35235.79891,35747.70795,35750.71975,30387.12932,31126.32469,32554.14668,34746.34414,33812.78872,32091.48666,36852.54254,35635.74422,39003.3161
Japan,JPN,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40040.76551,40058.53733,34017.27181,33766.52683
"Korea, Rep.",KOR,19143.85161,23079.26013,25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891,35125.5225,32394.68337,33121.37129
Lithuania,LTU,11854.37111,11829.12261,14261.84338,14294.71786,15655.35133,16473.56782,14300.25537,14981.62081,16884.71003,19368.5391,19727.76075,20541.82499,23934.72849,25085.78406,27786.00578
Luxembourg,LUX,109419.747,110885.9914,119025.0572,112584.6763,120000.1407,123678.7021,105462.0126,106899.2935,110193.2138,116786.5117,112726.4397,116905.3704,133711.7944,125006.0218,128678.1899
Latvia,LVA,11996.03227,11188.41917,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20262.84339,20229.46136,22502.84299
Mexico,MEX,8423.569332,9728.800784,10664.4944,10744.13352,11216.80085,11391.37735,10021.23861,9097.923977,9649.278168,10084.79376,10369.55536,8841.27075,10314.05067,11385.40708,13790.02434
Netherlands,NLD,53172.02616,51305.73385,54701.7728,50473.9442,52602.28605,53457.22349,45793.81354,46808.52915,49513.68173,53955.077,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Norway,NOR,80347.57007,88163.20859,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,93072.89251,108798.4512,87925.09442
New Zealand,NZL,28209.36233,33676.77412,38388.52809,39974.29973,42977.38804,44578.22539,38639.35019,40070.89566,42913.18696,43228.69765,42747.20993,41785.69229,49624.18167,48216.50958,48280.81142
Poland,POL,11556.30269,12567.73177,13867.66694,13087.42094,13621.90238,14262.28419,12637.52203,12464.01105,13913.34029,15658.21203,15874.52205,15987.57537,18635.51049,18891.21212,22056.66617
Portugal,PRT,23151.21541,22551.9351,23246.54254,20593.42742,21676.48596,22120.68501,19215.7813,19980.28089,21442.38428,23541.14011,23343.3629,22299.40441,24711.45101,24620.51956,27331.20949
Slovak Republic,SVK,16586.75278,16899.44868,18469.43543,17516.96911,18312.78051,18770.92899,16442.07609,16636.07691,17645.52987,19573.3717,19406.05897,19735.48583,22138.19498,21342.76667,24491.37719
Slovenia,SVN,24501.78973,23329.84177,24940.62848,22442.14179,23236.96553,24013.06821,20697.27485,21447.83778,23303.07771,25888.04811,25814.16872,25392.06511,29187.36938,28373.83823,32610.11092
Sweden,SWE,46707.86732,52542.82741,60379.77482,57749.82513,60844.27671,59583.714,51197.95293,51820.39725,53300.85873,54181.90698,51773.04646,52653.75659,61174.96802,55296.93715,55516.83648
Turkiye,TUR,9012.999458,10622.70204,11300.78522,11713.28498,12578.18786,12165.22014,11049.99511,10970.04589,10695.5502,9568.835063,9215.440499,8638.739038,9743.212778,10674.50416,13105.65857
United States,USA,47194.95009,48650.66432,50065.97895,51784.41147,53409.75078,55304.31553,57040.20821,58206.61419,60322.26142,63201.04585,65604.68152,64411.37318,71318.30736,78035.17536,82769.41221
