Country,CCode,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,69.102,68.432,68.142,67.522,66.822,66.562,67.261,66.791,66.891,67.851,68.121,66.241,68.58,68.326,67.834
Austria,AUT,58.476,57.221,58,58.15,57.741,57.074,56.499,56.659,54.943,55.811,55.477,55.558,55.694,56.606,59.286
Belgium,BEL,32.44,32.51,31.98,31.48,30.99,30.19,30,28.46,28.075,29.628,30.98,28.427,30.257,31.1,31.452
Canada,CAN,65.349,64.499,64.527,63.516,63.835,64.206,64.245,63.735,63.914,63.343,64.586,61.746,63.827,64.46,64.277
Switzerland,CHE,67.266,68.108,68.559,67.579,68.009,67.899,67.519,68.349,68.669,67.989,66.479,65.019,65.38,65.02,64.627
Chile,CHL,38.429,37.741,38.631,37.375,36.551,36.271,36.021,34.759,34.214,33.676,31.676,26.609,26.828,29.679,29.931
Colombia,COL,52.141,51.66,52.66,53.6,52.089,51.549,51.399,50.06,49.23,48.12,46.74,46.94,48.35,44.45,44.562
Costa Rica,CRI,47.376,44.65,43.61,48.161,47.744,48.208,45.731,42.608,42.63,45.63,45.312,43.926,45.414,42.968,39.099
Czechia,CZE,31.84,30.88,29.93,31.27,31.55,32.2,32.48,31.979,31.649,30.409,29.709,27.297,27.038,27.6,28.524
Germany,DEU,51.764,51.282,52.41,50.698,50.849,49.918,48.819,49.218,49.859,50.274,51.43,51.837,52.262,53.594,54.325
Denmark,DNK,67.859,63.969,63.36,60.989,58.119,58.269,58.448,59.537,60.378,60.069,61.129,60.22,60.411,62.8,63.954
Spain,ESP,45.045,42.661,40.923,39.03,37.782,35.714,34.716,33.043,33.331,32.992,32.991,29.904,31.547,32.707,32.94
Estonia,EST,38.995,37.658,39.978,40.814,39.735,39.109,41.821,43.251,46.123,47.35,44.674,42.956,40.287,44.748,44.075
Finland,FIN,50.424,49.376,50.515,51.586,51.807,52.053,52.176,52.162,53.216,53.042,53.896,52.239,52.901,53.919,54.94
France,FRA,35.59,35.01,33.981,33.36,35.309,34.366,34.868,34.908,34.964,35.654,34.876,33.847,37.759,40.333,42.755
United Kingdom,GBR,59.226,58.444,58.214,58.644,58.324,57.813,58.524,58.344,57.484,57.091,56.642,54.667,51.22,54.355,55.029
Greece,GRC,30.627,30.063,29.245,29.404,28.651,28.02,25.87,24.603,24.944,23.215,22.306,21.015,20.806,23.493,24.849
Hungary,HUN,24.676,24.812,24.298,25.701,27.399,29.536,31.035,32.306,32.458,32.284,32.212,31.213,31.786,30.824,31.164
Ireland,IRL,60.06,53.86,51.37,50.27,49.89,48.05,47.42,50.46,46.69,46.72,47.06,43.68,50.2,53.079,54.562
Iceland,ISL,73.133,73.664,73.084,75.71,78.057,78.181,80.171,83.03,82.272,80.319,78.58,72.863,74.552,77.926,76.735
Italy,ITA,28.849,28.079,27.109,28.559,27.14,27.139,26.188,26.609,26.178,26.078,26.078,23.825,24.916,25.996,26.392
Japan,JPN,43.545,43.034,42.632,41.507,42.478,42.966,42.925,44.806,44.599,47.399,49.09,48.557,48.878,48.707,49.841
"Korea, Rep.",KOR,22.996,23.126,23.714,24.456,24.658,26.568,28.105,28.252,28.007,27.262,27.552,26.213,27.509,28.856,27.037
Lithuania,LTU,29.291,28.414,28.132,29.271,31.491,34.197,33.828,35.361,35.064,36.494,37.333,36.603,36.309,36.306,34.001
Luxembourg,LUX,32.265,24.733,24.874,26.771,25.889,26.313,35.19,30.71,30.447,33.123,34.614,32.359,35.383,33.42,35.048
Latvia,LVA,41.223,39.735,37.454,40.128,39.352,40.405,41.268,39.676,39.734,37.704,36.281,34.82,32.702,36.088,34.744
Mexico,MEX,46.969,47.142,46.912,47.236,46.379,45.404,44.758,44.215,43.788,43.774,44.907,39.972,44.233,44.366,44.741
Netherlands,NLD,70.052,68.283,68.114,69.234,69.221,67.369,68.489,68.219,68.369,68.886,70.023,68.755,69.702,69.348,71.408
Norway,NOR,57.885,56.717,55.62,57.025,57.013,54.401,55.904,54.561,53.743,54.35,55.477,55.602,61.005,64.303,65.122
New Zealand,NZL,61.373,59.864,59.63,59.271,57.89,60.048,61.398,62.368,63.2,63.722,63.533,62.882,64.852,67.514,68.927
Poland,POL,33.813,34.555,33.498,33.551,33.262,33.821,32.791,34.491,34.788,35.072,35.176,31.824,31.018,31.078,32.111
Portugal,PRT,38.7,36.12,38.15,37.08,35,34.3,33.53,33.169,33.979,34.18,34.28,30.159,29.74,31.099,35.462
Slovak Republic,SVK,31.304,30.954,30.078,30.488,30.789,31.66,31.779,32.42,33.179,32.289,29.679,28.138,26.234,26.59,27.557
Slovenia,SVN,40.958,39.978,37.49,34.453,33.849,33.703,35.414,33.775,39.132,38.573,36.226,31.467,33.858,35.892,36.341
Sweden,SWE,51.026,51.633,52.98,52.582,54.496,55.445,55.13,54.837,54.702,54.085,55.016,52.053,54.029,56.915,58.681
Turkiye,TUR,37.438,37.37,38.471,37.373,38.823,40.791,41.779,42.338,43.219,43.81,44.281,38.982,41.682,43.846,44.056
United States,USA,51.718,50.171,49.985,49.912,50.063,50.023,50.01,50.167,50.441,50.204,50.809,49.018,50.491,50.531,51.037
