Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Australia,"44,050.4","44,375.5","46,261.2","48,085.4","53,605.7","54,671.0","54,774.0","56,572.5","56,401.4","58,336.4","59,316.3","62,507.3","64,177.5","67,454.2","70,154.2",
Austria,"44,839.1","45,716.3","47,743.4","50,032.0","52,617.4","53,597.6","54,970.0","58,013.7","59,356.4","61,507.3","64,604.6","65,772.7","66,701.7","72,903.9","76,126.6",
Belgium,"49,581.2","51,903.2","53,654.8","55,813.0","57,304.6","58,048.2","58,098.9","59,574.1","61,275.0","63,471.5","66,679.5","68,894.3","69,674.2","76,010.9","81,461.0",
Canada,"47,993.6","48,124.9","47,906.9","47,967.0","50,653.6","52,261.2","52,562.3","54,016.2","55,349.2","56,774.6","55,721.3","61,816.6","64,208.4","67,855.8","73,101.7",
Chile,"16,838.7","17,179.3","18,717.1","20,099.6","21,196.8","21,452.6","21,682.0","22,594.8","23,507.0","24,403.4","25,004.8","24,572.3","24,803.8","26,726.3","29,324.8",
Colombia,"10,282.3","10,937.1","11,116.5","10,976.5","11,679.3","12,411.1","11,717.7","12,113.9","12,544.6","13,300.7","13,901.3","13,794.3","14,079.7","16,872.9","16,615.1",
Costa Rica,"15,014.7","15,884.9","16,729.1","18,078.7","18,831.3","19,675.6","20,355.4","22,217.5","23,076.8","23,471.3","25,063.3","25,258.0","25,490.3","25,960.7","27,695.3",
Czechia,"20,537.5","21,070.3","22,185.6","22,847.7","23,646.0","24,516.9","24,807.6","26,606.0","28,659.8","30,954.0","33,449.8","33,988.7","35,031.9","37,107.9","38,122.1",
Denmark,"47,477.5","49,540.5","51,758.8","51,817.0","53,497.1","54,252.6","55,247.1","57,430.5","59,962.8","62,237.7","65,163.5","67,164.2","68,560.4","73,289.9","82,383.2",
Estonia,"18,354.8","18,964.6","20,265.8","21,118.4","22,456.6","23,416.6","24,265.7","26,585.1","28,026.6","29,204.6","31,349.5","32,884.8","34,024.0","35,098.2","36,051.7",
