,Country Name,Country Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13,Australia,AUS,28932973453.0,35554698682.0,65578266556.0,57571285655.0,54472699004.0,63204516348.0,46892808568.0,42970225978.0,48199372040.0,60686639530.0,38745129661.0,17976843681.0,31518948093.0,70364982117.0,32501414007.0
14,Austria,AUT,14300064389.0,-22007325156.0,22983942932.0,5218620113.0,-1290975417.0,1708425860.0,-6847372584.0,-28502567388.0,14031983575.0,-27839206246.0,-12636357247.0,-12003798873.0,18998114634.0,14301504457.0,2924935669.0
17,Belgium,BEL,77354509260.0,125492000000.0,163624000000.0,11810272331.0,-29640924980.0,-15205871358.0,-19514245855.0,57538351507.0,-37288840312.0,-41601387267.0,-10587088044.0,-30416922631.0,35347519889.0,11875049209.0,-2776119887.0
35,Canada,CAN,20951090410.0,29714744325.0,38338330427.0,49368985104.0,67027866778.0,64174605786.0,59986208237.0,34201872161.0,25357801000.0,42603762049.0,48942300762.0,29123011879.0,59125104307.0,49984660122.0,47745201181.0
37,Switzerland,CHE,47658570355.0,17670735603.0,20764483835.0,39943494322.0,-24926465857.0,21003091522.0,118752000000.0,166801000000.0,143236000000.0,-160000000000.0,8774913614.0,-241000000000.0,-117000000000.0,-10988929764.0,-52637267567.0
39,Chile,CHL,12750321999.0,14849443157.0,26369463389.0,31801970676.0,21120756844.0,25527831849.0,17766285629.0,11362832162.0,5237183518.0,7942631935.0,13579090979.0,11447397289.0,15176902319.0,18236599109.0,21737835925.0
45,Colombia,COL,8034746177.0,6429989613.0,14647048638.0,15039979139.0,16210419016.0,16168701715.0,11620532646.0,13857937721.0,13700880445.0,11298692774.0,13989154028.0,7458624984.0,9561335277.0,17182521350.0,17144522052.0
48,Costa Rica,CRI,1614614468.0,1906923793.0,2733268840.0,2696295211.0,3205384977.0,3242149797.0,2955521681.0,2620435491.0,2924906991.0,3014543618.0,2719031329.0,2103003649.0,3592802258.0,3673404329.0,4687479758.0
54,Czechia,CZE,5271613702.0,10167834375.0,4188736491.0,9433199805.0,7357578653.0,8088661930.0,1699914617.0,10850612308.0,11234740946.0,8324668391.0,10752120871.0,8515481808.0,12890950336.0,9143600295.0,8225354599.0
55,Germany,DEU,56701916795.0,86037502102.0,97535403953.0,65443087632.0,67199694459.0,17356720098.0,62418993509.0,58132711371.0,108787000000.0,162251000000.0,75463438451.0,176781000000.0,102149000000.0,62728998896.0,19515498092.0
58,Denmark,DNK,3771059440.0,-11767861925.0,13558894634.0,-16349825685.0,680338945.9,6577348987.0,1842994663.0,7804020827.0,3607276300.0,8764023726.0,-3801733789.0,1294050740.0,16997286703.0,30820919526.0,4576876843.0
70,Spain,ESP,9549813317.0,36609340306.0,26832032515.0,20848479096.0,47143326585.0,31972292815.0,23777330434.0,44962670966.0,33577736759.0,63958429157.0,30322872791.0,37683095972.0,64626902394.0,65488854829.0,42953066298.0
71,Estonia,EST,1866296947.0,2592255115.0,1119148299.0,1787341527.0,1097942107.0,1781648554.0,-715465129.9,925762256.7,1735775304.0,1273932848.0,3113489502.0,3823194189.0,7554905496.0,1877817161.0,5350805152.0
75,Finland,FIN,-8826315342.0,12221047445.0,-6008929966.0,4930356141.0,-4959133089.0,17544672687.0,17579437753.0,5228087259.0,16909619227.0,-10529085854.0,16280099519.0,-2535610877.0,23579233205.0,13095645413.0,-260116463.7
77,France,FRA,18422928062.0,38889439213.0,44205811127.0,32944663318.0,33461592994.0,5063648998.0,43133325471.0,35623357280.0,43733253504.0,77493098693.0,53499337504.0,19368829836.0,98012545019.0,109575000000.0,8803377982.0
81,United Kingdom,GBR,14547108445.0,66734551294.0,27012050072.0,46750789728.0,54473175400.0,58890445253.0,45333483122.0,324813000000.0,125359000000.0,-25055440307.0,19790761929.0,157186000000.0,5055966701.0,44897919401.0,-89439143375.0
89,Greece,GRC,2766296835.0,532926980.5,1092191388.0,1662090330.0,2945271845.0,2697339246.0,1268938506.0,2698544612.0,3439131880.0,4025447789.0,4999635990.0,3303648833.0,6132475888.0,7947989003.0,4722066764.0
101,Hungary,HUN,-2986078748.0,-20952692165.0,10563869737.0,10670096332.0,-3730081936.0,12880113630.0,-5469731522.0,69453473203.0,-12371761180.0,-64648352414.0,98265233190.0,167399000000.0,33487981474.0,-1987414897.0,-72234232901.0
111,Ireland,IRL,53974309647.0,37748455284.0,23699352433.0,58090414123.0,72540330764.0,104904000000.0,226023000000.0,79795011378.0,71124020352.0,80581468517.0,31252184929.0,35288206770.0,77722796051.0,-35575910808.0,-140000000000.0
114,Iceland,ISL,63588140.75,256982201.7,1106958185.0,1024164328.0,472607545.8,766775539.0,1145767445.0,-1066286957.0,-6999892981.0,-622718386.3,-556463720.7,-878458464.6,465254287.7,1398126798.0,688474931.2
116,Italy,ITA,16607196345.0,9930501391.0,34465481830.0,34901033.01,19531411962.0,17032744039.0,13303439230.0,25656663795.0,8737024579.0,44249715319.0,35760550299.0,-17050399621.0,24902365871.0,62728326244.0,42019753074.0
119,Japan,JPN,12226471579.0,7440979284.0,-850717035.1,546962692.2,10648441636.0,19752249424.0,5252218412.0,40954181469.0,18802251208.0,25289367858.0,39960544340.0,62584719398.0,35027163876.0,48004621741.0,19983856530.0
126,"Korea, Rep.",KOR,9021900000.0,9497400000.0,9773000000.0,9495900000.0,12766600000.0,9273600000.0,4104100000.0,12104300000.0,17912900000.0,12182600000.0,9634300000.0,8764900000.0,22060400000.0,25044700000.0,15178400000.0
143,Lithuania,LTU,-360197700.8,1102696147.0,1880811089.0,677182759.7,768657972.0,357323216.2,1036954106.0,1177533776.0,1383731106.0,1299841764.0,3434299310.0,4560496003.0,2507626416.0,2419329634.0,3831114464.0
144,Luxembourg,LUX,8268305730.0,23252717390.0,10715798180.0,-13397250910.0,46620625540.0,43420615630.0,31919449680.0,-1240840360.0,15019035030.0,21857123290.0,176767000000.0,148012000000.0,52174231870.0,-294000000000.0,-23678690370.0
145,Latvia,LVA,-150022148.4,474983591.2,1519518896.0,1080778948.0,989283879.4,1045107101.0,812843819.5,335420977.5,1189985285.0,439128427.0,1115785161.0,939356413.9,3734085090.0,1217386449.0,1689068344.0
154,Mexico,MEX,19652158435.0,30525248263.0,23894767260.0,18231594018.0,50927453416.0,28438274451.0,36249945684.0,38899502234.0,33114459875.0,37857187751.0,29946327705.0,31524173543.0,35405811449.0,39110305098.0,30199980895.0
176,Netherlands,NLD,203201000000.0,53285507515.0,354420000000.0,259631000000.0,310545000000.0,143075000000.0,376244000000.0,275562000000.0,199506000000.0,-286000000000.0,-127000000000.0,-221000000000.0,-115000000000.0,15562510630.0,-309000000000.0
177,Norway,NOR,8635762892.0,21634265663.0,10296323076.0,27897968328.0,-1368607171.0,3242240088.0,7274086872.0,-18668572814.0,5900604724.0,-5664319362.0,16329824318.0,-4102660408.0,14179043238.0,14375733479.0,10720841229.0
180,New Zealand,NZL,-52385533.24,286306903.0,1378410924.0,3846884019.0,-69519935.42,3251563602.0,-73372796.42,2008111275.0,2390035935.0,2516488850.0,2915754514.0,4135119591.0,4539913925.0,8340194362.0,3592037225.0
190,Poland,POL,14025000000.0,18861000000.0,18851000000.0,7616000000.0,1342000000.0,20877000000.0,15820000000.0,18060000000.0,12565000000.0,19908000000.0,19012000000.0,20086000000.0,37512000000.0,41780000000.0,34316000000.0
194,Portugal,PRT,5585829214.0,8966915539.0,9821076890.0,21396375527.0,15745220666.0,12045808665.0,1270014233.0,7354810293.0,10683844361.0,7846086578.0,10320042522.0,3991854438.0,7850966593.0,9531041797.0,9706321480.0
221,Slovak Republic,SVK,1521083444.0,2115832960.0,5431592592.0,1776566141.0,1003901888.0,-362915353.4,1520379416.0,4768259092.0,4222907458.0,2252379829.0,2279811254.0,-1141703441.0,2719672547.0,4827084866.0,-327742481.7
222,Slovenia,SVN,-346971372.9,319143932.6,875946337.7,33537889.49,104022716.6,1019380613.0,1730147099.0,1446274235.0,1196228605.0,1538137615.0,2151537534.0,506269486.8,2219247756.0,2180392923.0,1447634542.0
223,Sweden,SWE,8960871621.0,625102142.5,6979353755.0,4273531542.0,1487752726.0,-6039792920.0,9777569491.0,15470455706.0,24305209925.0,-714153381.4,15882460441.0,18517762638.0,54838836963.0,47939405794.0,23001110545.0
244,Turkey,TUR,8585000000.0,9099000000.0,16182000000.0,13744000000.0,13563000000.0,13337000000.0,19263000000.0,13835000000.0,11190000000.0,12450000000.0,9507000000.0,7675000000.0,12895000000.0,13666000000.0,10951000000.0
251,United States,USA,161083000000.0,264039000000.0,263497000000.0,250345000000.0,288131000000.0,251856000000.0,511434000000.0,474388000000.0,380823000000.0,214715000000.0,315984000000.0,137066000000.0,475805000000.0,408982000000.0,348784000000.0
