Country Name,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,-0.259187494,-0.106818974,0.256412869,-0.014130071,-0.133390326,-0.035097219,0.085271279,0.054347332,-0.091588864,-0.012370347,-0.165187137,-0.885769535,8.032954074,0.923052133
Austria,AUT,-0.198685667,0.402199811,0.352605711,0.292693168,0.326023979,0.434334979,-0.035322451,-0.357662769,-0.298794807,-0.08704728,-0.066333833,0.049364404,1.194973491,0.034693381
Belgium,BEL,0.14204924,0.423978556,-0.523318835,-0.239974484,-0.058155148,0.305266982,-0.12623473,-0.239130917,0.181598102,0.187345122,-0.202539028,-0.04499991,0.963463141,0.130605129
Canada,CAN,0.010320027,-0.122323778,0.111070807,-0.028019044,-0.049325111,-0.240780109,0.488280316,0.056468202,0.19891525,0.019875748,-0.258151724,-0.489193774,2.271194494,0.618321935
Switzerland,CHE,-0.132034952,0.067515089,-0.04502254,0.082933534,0.06107092,-0.067016273,-0.040678614,-0.145486034,-0.210599232,-0.03165793,0.024340662,0.047661118,0.084162061,0.514328763
Chile,CHL,0.004553624,-0.017868138,-0.027408345,-0.00606344,0.045162796,0.024827218,0.183883001,0.309680867,0.127174351,-0.10432921,-0.439383472,-0.50752699,0.122971087,0.088422831
Colombia,COL,-0.053359697,-0.056895147,-0.063872929,-0.054041355,-0.059025207,-0.031106561,0.145219121,0.465326726,0.267080027,-0.028808483,-0.19585836,-0.236641572,-0.025660866,0.049270837
Costa Rica,CRI,-0.045711258,-0.05246177,-0.007423153,-0.045837147,-0.034390832,-0.011659036,-0.048389667,-0.065977677,-0.042200033,-0.073207888,-0.173311144,-0.266135197,-0.15555907,0.086182658
Germany,DEU,-0.48933851,11.1000876,-1.101271144,0.453701655,0.527581644,1.07663627,-0.067556805,-0.537021832,-0.195860443,-0.249584571,-0.637756276,-0.481877583,16.0310791,-1.860139917
Denmark,DNK,-0.11160569,-0.073074084,-0.086136389,0.107977983,0.21624281,0.39319451,0.104708801,-0.17560614,-0.229286968,-0.277727308,-0.185657635,0.486122411,0.816973094,-0.058814989
Spain,ESP,-0.488435217,-0.228210282,-0.817284133,-6.046810626,-0.087643254,-0.740462997,-2.088173583,1.778485209,0.867031296,0.6386838,-0.319365349,-0.783421224,5.819343132,0.698285104
