Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,20.47799546,20.32252448,21.09908592,21.94434163,21.89787868,21.87407068,22.27552213,22.11036864,23.20844496,23.40844001,22.59092489,23.06126793,23.62795125,
Austria,25.44035226,25.58984527,26.09720584,26.6387449,26.66058629,26.99756907,25.55798762,25.56529079,25.55278733,25.6759595,24.46739823,25.78763699,26.19154912,
Belgium,24.46135143,24.75377919,25.70696784,26.07560813,26.00835691,24.42272428,22.92859825,23.53513881,24.03777391,22.59782094,21.86156404,23.22608924,22.7079147,
Canada,11.7328093,11.80392128,11.66442736,11.6235046,11.80837908,12.38981091,12.49656263,12.61201668,13.05768467,12.7416889,13.50333209,13.2198943,12.82601965,14.00758608
Switzerland,9.364008039,9.321952188,9.169074742,9.256214099,9.087339532,9.556179017,9.404603141,10.06163529,9.691023945,9.907169187,9.34487115,10.09367726,9.10068229,
Chile,17.47100627,18.936096,18.99105955,17.4587729,17.04450121,17.54608293,17.46896441,17.50579468,18.3955245,17.71885277,16.19616933,19.66440473,21.27361513,
Colombia,12.1421652,14.57588119,13.22699071,14.02211435,15.69974837,15.79726266,14.38521293,14.85081841,14.60984245,14.90052462,14.04523856,14.4463231,15.27787993,
Costa Rica,12.95254206,13.20898687,13.10529607,13.41682475,13.04558896,13.25399422,13.51085434,13.24410255,13.18214869,13.37420761,12.27671604,13.99919228,14.35419411,
Czechia,13.51508771,14.40314698,14.82192296,14.98638406,14.32344196,14.68562902,14.77064978,14.80677862,14.65729131,14.5245717,14.07311681,12.9358385,12.64198839,
Germany,10.96932028,11.25470829,11.3944179,11.385006,11.26046423,11.25749842,11.07921817,11.19990033,11.23766806,11.21438352,10.4109728,11.02250534,11.01086283,
Denmark,32.70165891,32.72376631,33.48287174,33.71704394,36.51695006,34.02438122,33.3946817,33.4512942,32.37567778,34.9447031,34.44690369,34.95649562,30.42280785,
Spain,,,11.70774274,13.54572506,14.04900529,14.08180574,13.68383933,13.62664356,14.12698098,13.65874086,13.44669832,14.87817631,15.50222076,
Estonia,19.82306597,19.1696178,19.76467718,19.90155,20.42406845,21.24917632,21.34187548,20.52626079,20.55784464,20.76396782,20.39822337,21.43873521,20.75888505,
Finland,18.60088123,20.05261693,20.20181856,20.72708689,20.73595492,20.58689198,20.98721937,20.88106237,20.96418792,20.78459487,20.00575328,20.82978244,21.20026754,
France,21.94401403,21.77653773,22.53632128,23.17629446,23.11874206,23.1664227,23.08869822,23.68667884,24.25235722,24.56937461,24.65461191,23.90612217,24.46860872,
United Kingdom,25.27339789,25.83493224,25.10306556,25.13634238,24.88051097,25.06664663,25.45503842,25.5968599,25.54671645,25.11127296,24.78542762,26.4149383,27.17314723,27.31886314
Greece,20.43467912,22.45927139,24.95438871,24.73080469,25.39872318,25.39591076,27.0349617,26.74281917,27.10839198,25.93243597,24.99171569,25.57773596,27.64197411,
Hungary,22.58762595,21.0415078,22.86779799,22.86798623,23.01842233,23.23512801,23.06745669,22.88129752,22.5345388,22.36405626,22.85602069,21.48315359,23.4281197,
Ireland,21.83289692,21.64641693,22.30656444,22.44218984,22.46044268,18.11123059,18.63085827,17.61287233,17.64041147,17.35666999,15.90519831,16.5930206,16.785703,
Iceland,20.22643799,20.58217743,21.50330708,21.6567855,24.49195998,22.68944412,37.61284979,23.9232132,22.97836107,21.93201342,22.40161375,21.39009804,22.46848163,23.43609825
Italy,23.58306807,23.52479138,24.81636183,25.00695909,24.71252771,24.62168524,24.93693458,24.57189567,24.1515597,24.4756458,24.6295251,24.76885575,24.49652235,
