Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,0.0291834,0.033038502,0.017627802,0.024498886,0.024879227,0.015083667,0.012769909,0.019486474,0.019114009,0.016107679,0.008469055,0.028639104,0.065940967,0.055970149
Austria,AUT,0.018135344,0.032865791,0.024856756,0.020001562,0.016058118,0.008965633,0.008915918,0.020812691,0.019983798,0.015308956,0.013819106,0.027666667,0.085468699,0.078141342
Belgium,BEL,0.021892992,0.035320821,0.028396634,0.011130959,0.003400028,0.005614292,0.019738526,0.021259709,0.02053165,0.014368196,0.007407918,0.024402485,0.095975117,0.040490108
Canada,CAN,0.017768715,0.029121351,0.015156782,0.009382919,0.019066359,0.011252414,0.014287595,0.015968841,0.022682257,0.01949269,0.007169996,0.033951932,0.068028012,0.038790016
Switzerland,CHE,0.006882387,0.002313492,-0.00692552,-0.002173232,-0.000132025,-0.011439087,-0.004346187,0.005337878,0.009363355,0.003628862,-0.007258749,0.005818142,0.02835028,0.021354009
Chile,CHL,0.014107111,0.033412169,0.030074484,0.017895555,0.047186753,0.043487735,0.037861936,0.021827185,0.024348898,0.025575448,0.030454908,0.045245684,0.116438667,0.075816825
Colombia,COL,0.022720023,0.034150334,0.031693019,0.020169922,0.028988379,0.049898312,0.075134602,0.043143133,0.032405693,0.035230193,0.02526635,0.034950576,0.101772313,0.117359045
Costa Rica,CRI,0.056627571,0.048779983,0.044954531,0.052313361,0.04519201,0.00801982,-0.000174789,0.016259069,0.022211146,0.020960464,0.007249115,0.017264776,0.082747749,0.005251935
Czechia,CZE,0.014727273,0.019172191,0.032876231,0.014382979,0.003439886,0.003093645,0.006835042,0.02450534,0.021494949,0.02847876,0.031612953,0.038398449,0.151001652,0.106612601
Germany,DEU,0.011038104,0.020751728,0.020084888,0.015047233,0.00906794,0.005144261,0.00491747,0.015094949,0.017321688,0.014456598,0.001448779,0.030666667,0.068725744,0.059464367
Denmark,DNK,0.023109244,0.027586823,0.023979149,0.007890718,0.005640205,0.004520342,0.0025,0.011471322,0.008136095,0.007581316,0.00420712,0.018530454,0.07696567,0.033051781
Spain,ESP,0.017998646,0.031961019,0.024461278,0.014085811,-0.001511148,-0.005003657,-0.00202598,0.019560763,0.016749814,0.00699519,-0.00322753,0.030931351,0.083905763,0.035323613
Estonia,EST,0.029720451,0.049819013,0.039333999,0.027805666,-0.001061751,-0.00492326,0.001486849,0.034172355,0.034363269,0.022772593,-0.004445311,0.046531667,0.193982634,0.091592251
Finland,FIN,0.011841352,0.034168075,0.028083362,0.014782862,0.010411962,-0.002079288,0.003566845,0.00754015,0.01083821,0.010240939,0.002905546,0.021945743,0.071235077,0.062506432
France,FRA,0.015311227,0.02111598,0.019541953,0.008637155,0.005077588,0.000375144,0.001833349,0.010322828,0.018508151,0.011082549,0.004764989,0.016423314,0.052223675,0.048783573
United Kingdom,GBR,0.024926547,0.038561124,0.025732348,0.022916667,0.014511202,0.003680468,0.010084174,0.025577558,0.022928399,0.017381046,0.009894867,0.025183711,0.079220488,0.067939671
Greece,GRC,0.047129891,0.033298532,0.01501527,-0.009212695,-0.01312261,-0.01735888,-0.00825654,0.011212545,0.006256214,0.002530075,-0.012479836,0.01223825,0.096452598,0.034648013
Hungary,HUN,0.04855558,0.03929921,0.056521452,0.017331999,-0.002275663,-0.000616447,0.003947693,0.023482428,0.028502479,0.033385864,0.033267439,0.051109653,0.14608144,0.17124966
Ireland,IRL,-0.009183886,0.025489783,0.016947412,0.005150995,0.001909164,-0.003309598,0.000201248,0.00362173,0.004711307,0.00937843,-0.003261837,0.023403411,0.078294574,0.062994249
Iceland,ISL,0.053967311,0.040010266,0.051858999,0.038722792,0.020446148,0.016330556,0.016969276,0.017604156,0.026829177,0.030139718,0.02847924,0.044442397,0.083087551,0.08736303
Italy,ITA,0.01525516,0.027806327,0.030413633,0.012199934,0.002410474,0.000387904,-0.000940167,0.012265332,0.011374876,0.006112469,-0.001377076,0.018737833,0.082012899,0.056221944
Japan,JPN,-0.007282432,-0.002724556,-0.000440645,0.003350379,0.027592267,0.007952796,-0.001272588,0.004841998,0.009890946,0.004687762,-0.000249958,-0.002333528,0.024977028,0.032681337
Korea,KOR,0.029392865,0.04025965,0.02187071,0.013013475,0.012747745,0.007063318,0.009716857,0.019443323,0.014758394,0.003830003,0.00537288,0.024983333,0.050895137,0.035974563
Lithuania,LTU,0.013192136,0.041302756,0.030899828,0.010474794,0.00103758,-0.008840974,0.009055251,0.037228886,0.026979278,0.023345094,0.011998944,0.046835442,0.197050462,0.091173196
Luxembourg,LUX,0.022736791,0.034106834,0.026628417,0.017340396,0.00628544,0.004747432,0.002908333,0.017307996,0.015281952,0.017433208,0.008199573,0.025269201,0.063360081,0.037414036
Latvia,LVA,-0.01084636,0.043707356,0.022577892,-0.000294548,0.006204906,0.001742422,0.001406333,0.029303631,0.025344542,0.028114092,0.002190649,0.032758294,0.17310283,0.089380462
Mexico,MEX,0.041567272,0.034073782,0.041115098,0.038063907,0.040186161,0.027206407,0.028217078,0.060414572,0.048993502,0.036359614,0.033968342,0.056892085,0.078962762,0.055279609
Netherlands,NLD,0.012753057,0.023410702,0.024555477,0.025068985,0.009760351,0.006002481,0.003166667,0.013814587,0.017034979,0.026336991,0.012724604,0.026757201,0.100012079,0.038383935
Norway,NOR,0.024189064,0.012849516,0.006968641,0.021204862,0.020417029,0.021711367,0.0355,0.018751006,0.027648313,0.0216773,0.012865849,0.034838806,0.057641232,0.055178499
New Zealand,NZL,0.023020239,0.040279067,0.010599132,0.011344227,0.012275075,0.002927046,0.006462403,0.018507877,0.01598297,0.016196319,0.017145617,0.039411206,0.071722248,0.057331628
Poland,POL,0.025806937,0.042394015,0.035603715,0.009919826,0.000538213,-0.008741259,-0.006647673,0.020759355,0.018129516,0.022274788,0.033744697,0.05055027,0.144294508,0.115289128
Portugal,PRT,0.014025729,0.03653011,0.027733385,0.002744167,-0.002781534,0.004879386,0.006073971,0.013686141,0.009937157,0.003381784,-0.000124383,0.012656572,0.078326912,0.043112819
Slovak Republic,SVK,0.009570181,0.03919286,0.036061026,0.014004737,-0.000761653,-0.003252198,-0.005200102,0.013119459,0.025140371,0.026645613,0.019369413,0.031496063,0.127741464,0.105319477
Slovenia,SVN,0.018011702,0.018028517,0.025974139,0.017692009,0.001993438,-0.005255523,-0.000549995,0.014291074,0.017386086,0.016305226,-0.000548568,0.019170651,0.088336989,0.074468772
Sweden,SWE,0.01157988,0.029611507,0.008883775,-0.00044293,-0.001796385,-0.000467847,0.009842692,0.01794499,0.019535353,0.01784151,0.004973673,0.021631974,0.08369291,0.085486249
Turkey,TUR,0.085664442,0.064718797,0.0889157,0.074930903,0.088545727,0.076708536,0.077751342,0.111443111,0.163324639,0.151768216,0.122789575,0.195964927,0.72308836,0.538594088
United States,USA,0.016400434,0.031568416,0.020693373,0.014648327,0.01622223,0.001186271,0.012615832,0.0213011,0.024425833,0.018122101,0.012335844,0.046978589,0.080027998,0.041163384
