Country,CPI Score 2009,CPI Score 2010,CPI Score 2011,CPI Score 2012,CPI Score 2013,CPI score 2014,CPI score 2015,CPI score 2016,CPI score 2017,CPI score 2018,CPI score 2019,CPI score 2020,CPI score 2021,CPI score 2022,CPI score 2023
Australia,87,87,88,85.0,81.0,80.0,79.0,79.0,77,77,77,77,73,75,75
Austria,79,79,78,69.0,69.0,72.0,76.0,75.0,75,76,77,76,74,71,71
Belgium,71,71,75,75.0,75.0,76.0,77.0,77.0,75,75,75,76,73,73,73
Canada,87,89,87,84.0,81.0,81.0,83.0,82.0,82,81,77,77,74,74,76
Chile,67,72,72,72.0,71.0,73.0,70.0,66.0,67,67,67,67,67,67,66
Colombia,37,35,34,36.0,36.0,37.0,37.0,37.0,37,36,37,39,39,39,40
Costa Rica,53,53,48,54.0,53.0,54.0,55.0,58.0,59,56,56,57,58,54,55
Czechia,49,46,44,49.0,48.0,51.0,56.0,55.0,57,59,56,54,54,56,57
Denmark,93,93,94,90.0,91.0,92.0,91.0,90.0,88,88,87,88,88,90,90
Estonia,66,65,64,64.0,68.0,69.0,70.0,70.0,71,73,74,75,74,74,76
Finland,89,92,94,90.0,89.0,89.0,90.0,89.0,85,85,86,85,88,87,87
France,69,68,70,71.0,71.0,69.0,70.0,69.0,70,72,69,69,71,72,71
Germany,80,79,80,79.0,78.0,79.0,81.0,81.0,81,80,80,80,80,79,78
Greece,38,35,34,36.0,40.0,43.0,46.0,44.0,48,45,48,50,49,52,49
Hungary,51,47,46,55.0,54.0,54.0,51.0,48.0,45,46,44,44,43,42,42
Iceland,87,85,83,82.0,78.0,79.0,79.0,78.0,77,76,78,75,74,74,72
Ireland,80,80,75,69.0,72.0,74.0,75.0,73.0,74,73,74,72,74,77,77
Italy,43,39,39,42.0,43.0,43.0,44.0,47.0,50,52,53,53,56,56,56
Japan,77,78,80,74.0,74.0,76.0,75.0,72.0,73,73,73,74,73,73,73
South Korea,55,54,54,56.0,55.0,55.0,54.0,53.0,54,57,59,61,62,63,63
Latvia,45,43,42,49.0,53.0,55.0,56.0,57.0,58,58,56,57,59,59,60
Lithuania,49,50,48,54.0,57.0,58.0,59.0,59.0,59,59,60,60,61,62,61
Luxembourg,82,85,85,80.0,80.0,82.0,85.0,81.0,82,81,80,80,81,77,78
Mexico,33,31,30,34.0,34.0,35.0,31.0,30.0,29,28,29,31,31,31,31
Netherlands,89,88,89,84.0,83.0,83.0,84.0,83.0,82,82,82,82,82,80,79
New Zealand,94,93,95,90.0,91.0,91.0,91.0,90.0,89,87,87,88,88,87,85
Norway,86,86,90,85.0,86.0,86.0,88.0,85.0,85,84,84,84,85,84,84
Poland,50,53,55,58.0,60.0,61.0,63.0,62.0,60,60,58,56,56,55,54
Portugal,58,60,61,63.0,62.0,63.0,64.0,62.0,63,64,62,61,62,62,61
Slovakia,45,43,40,46.0,47.0,50.0,51.0,51.0,50,50,50,49,52,53,54
Slovenia,66,64,59,61.0,57.0,58.0,60.0,61.0,61,60,60,60,57,56,56
Spain,61,61,62,65.0,59.0,60.0,58.0,58.0,57,58,62,62,61,60,60
Sweden,92,92,93,88.0,89.0,87.0,89.0,88.0,84,85,85,85,85,83,82
Switzerland,90,87,88,86.0,85.0,86.0,86.0,86.0,85,85,85,85,84,82,82
Turkey,44,44,42,49.0,50.0,45.0,42.0,41.0,40,41,39,40,38,36,34
United Kingdom,77,76,78,74.0,76.0,78.0,81.0,81.0,82,80,77,77,78,73,71
United States,75,71,71,73.0,73.0,74.0,76.0,74.0,75,71,69,67,67,69,69
