Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,1.15E+12,1.4E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12,1.73E+12
Austria,AUT,3.9E+11,4.29E+11,4.07E+11,4.27E+11,4.39E+11,3.8E+11,3.94E+11,4.15E+11,4.53E+11,4.43E+11,4.34E+11,4.8E+11,4.72E+11,5.12E+11
Belgium,BEL,4.82E+11,5.27E+11,4.98E+11,5.24E+11,5.38E+11,4.61E+11,4.74E+11,5.01E+11,5.43E+11,5.37E+11,5.3E+11,5.98E+11,5.93E+11,6.45E+11
Canada,CAN,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.66E+12,2.01E+12,2.16E+12,2.14E+12
Switzerland,CHE,5.99E+11,7.16E+11,6.86E+11,7.06E+11,7.27E+11,6.94E+11,6.88E+11,6.95E+11,7.26E+11,7.21E+11,7.42E+11,8.13E+11,8.18E+11,8.85E+11
Chile,CHL,2.17E+11,2.51E+11,2.67E+11,2.77E+11,2.6E+11,2.42E+11,2.49E+11,2.76E+11,2.96E+11,2.78E+11,2.54E+11,3.16E+11,3.02E+11,3.36E+11
Colombia,COL,2.86E+11,3.35E+11,3.71E+11,3.82E+11,3.81E+11,2.93E+11,2.83E+11,3.12E+11,3.34E+11,3.23E+11,2.7E+11,3.19E+11,3.45E+11,3.63E+11
Costa Rica,CRI,37658616952,42762613699,47231655432,50949668842,52016408854,56441920821,58847019610,60516044657,62420164992,64417670521,62395610760,64960725734,69243626029,86497941439
Czechia,CZE,2.11E+11,2.31E+11,2.1E+11,2.13E+11,2.11E+11,1.89E+11,1.98E+11,2.22E+11,2.52E+11,2.57E+11,2.51E+11,2.91E+11,3.02E+11,3.43E+11
Germany,DEU,3.47E+12,3.82E+12,3.6E+12,3.81E+12,3.97E+12,3.42E+12,3.54E+12,3.76E+12,4.05E+12,3.96E+12,3.94E+12,4.35E+12,4.16E+12,4.53E+12
Denmark,DNK,3.22E+11,3.44E+11,3.27E+11,3.45E+11,3.53E+11,3.02E+11,3.12E+11,3.32E+11,3.55E+11,3.45E+11,3.56E+11,4.08E+11,4.02E+11,4.07E+11
Spain,ESP,1.43E+12,1.49E+12,1.33E+12,1.36E+12,1.38E+12,1.21E+12,1.24E+12,1.32E+12,1.43E+12,1.4E+12,1.29E+12,1.46E+12,1.45E+12,1.62E+12
Estonia,EST,19524355419,23303915795,23237406116,25451032781,27055689003,23311847751,24561027788,27469461919,31222632741,31873748770,31820771494,37204563051,38376046175,41291245222
Finland,FIN,2.49E+11,2.75E+11,2.57E+11,2.7E+11,2.73E+11,2.33E+11,2.39E+11,2.54E+11,2.74E+11,2.67E+11,2.7E+11,2.94E+11,2.8E+11,2.96E+11
France,FRA,2.65E+12,2.87E+12,2.68E+12,2.82E+12,2.86E+12,2.44E+12,2.47E+12,2.59E+12,2.78E+12,2.72E+12,2.65E+12,2.97E+12,2.8E+12,3.05E+12
United Kingdom,GBR,2.49E+12,2.66E+12,2.71E+12,2.78E+12,3.06E+12,2.93E+12,2.69E+12,2.68E+12,2.87E+12,2.85E+12,2.7E+12,3.14E+12,3.11E+12,3.38E+12
Greece,GRC,2.96E+11,2.83E+11,2.39E+11,2.37E+11,2.34E+11,1.95E+11,1.93E+11,2E+11,2.13E+11,2.07E+11,1.91E+11,2.18E+11,2.19E+11,2.43E+11
Hungary,HUN,1.32E+11,1.42E+11,1.29E+11,1.36E+11,1.41E+11,1.25E+11,1.29E+11,1.43E+11,1.61E+11,1.64E+11,1.57E+11,1.82E+11,1.77E+11,2.12E+11
Ireland,IRL,2.22E+11,2.41E+11,2.27E+11,2.43E+11,2.67E+11,3.02E+11,3.06E+11,3.49E+11,3.95E+11,4.07E+11,4.37E+11,5.31E+11,5.49E+11,5.51E+11
Iceland,ISL,13751161918,15221622926,14751508134,16125060515,17867662178,17517210519,20793168031,24728285177,26260850582,24681343649,21629953194,25825287184,28770206627,31325116556
