Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,81.35475562,89.01512265,85.22299533,83.05625015,86.61785691,92.90158913,100.0,104.8457766,112.203745,108.769387,102.5100964,106.7000793,122.7002887,124.3772217,118.971764
Austria,80.29574312,85.79678561,87.71666325,91.44082596,94.13596122,95.93743647,100.0,105.3032573,108.6605289,112.7711041,117.5215683,125.1654766,136.6784057,141.774,127.1335559
Belgium,98.19994823,98.67604278,99.55918104,99.64961917,100.1172225,98.99009868,100.0,100.8316292,102.3237853,103.2827298,105.6009838,109.1309467,113.4317232,108.6407157,104.8270045
Canada,79.67202152,85.67123439,88.43863725,91.4650318,92.80306468,95.86993698,100.0,109.0774928,120.427384,122.8665737,122.6707886,129.6743738,144.5143864,152.3670828,143.8435539
Chile,66.74405977,69.69515275,75.77740965,81.5928707,87.57343658,93.40868923,100.0,102.866677,108.57507,117.364916,124.9466505,126.5452972,135.4807101,130.7236369,131.7276299
Colombia,76.17070015,80.02106627,81.79979158,87.00310001,93.20414096,97.69682058,100.0,102.8265078,105.8506488,107.9440314,109.4707501,109.7643878,108.7487468,103.1532992,102.9220535
Costa Rica,77.15276,82.49835,86.02283,90.52702,95.04256,97.93507,101.2024,103.7615,106.409,108.0533,109.3011,110.0369,111.8459,111.0003,120.0823
Czechia,104.6789313,100.4751256,99.28768809,96.0527294,95.48347767,96.72091619,100.0,106.0342491,115.0321929,121.4025135,128.7539912,135.5416195,155.693404,159.2920359,144.8984142
Denmark,95.95384652,96.32879981,92.56329094,88.04272214,90.77130639,93.6164655,100.0,104.4712429,108.6029436,112.8352457,114.4224321,119.1482758,130.2346568,127.418275,119.0586884
Estonia,71.76842231,72.83391575,75.07662586,77.27145513,82.96736483,93.73552925,100.0,102.9114928,103.9117829,106.291372,110.3791808,118.5412397,131.5555822,136.6525134,132.5360642
Finland,99.13948555,103.9347186,103.7968578,103.3794961,102.1192821,100.4633865,100.0,101.1302705,101.1902774,100.840681,100.2905083,101.6704999,104.0404371,98.93724391,89.3949617
France,100.859479,104.8260441,109.0767421,107.0666986,104.1980472,102.1804101,100.0,100.705084,102.9529789,104.0846273,106.6690754,111.5980889,117.4493566,119.1062359,110.62402
Germany,90.21884462,89.66717053,90.98160831,92.6726544,94.0934991,95.99728738,100.0,106.7500077,111.4128254,116.8415053,121.8424083,130.5617246,141.5817893,139.4404195,119.5258192
Greece,163.8353917,150.6170203,138.3332474,120.9903052,109.6664084,103.9487558,100.0,98.45688651,97.17349579,98.85423467,105.9216687,111.9962823,119.3527332,126.176707,137.3040416
Hungary,111.470315,104.9962258,98.16767928,89.79616493,86.2528557,88.85698192,100.0,112.3133001,122.0374279,134.8142718,150.9608594,154.0418894,169.4570032,180.7205796,169.120029
Iceland,90.75594039,84.63403289,85.43098296,86.29039707,88.00165125,93.07178933,100.0,108.6903439,131.1495986,137.7280648,137.8301067,141.7765945,153.9534533,174.2638904,172.1837765
Ireland,128.9164613,112.8858501,92.60501041,79.01194081,78.7909532,90.58443252,100.0,106.6257735,116.9456027,127.0487298,127.8406621,128.3511827,135.1448292,141.1613155,134.0185908
Italy,129.2910671,126.6993861,124.8028866,118.4270954,109.5295074,104.1005183,100.0,99.73111213,97.34975958,95.53866612,94.59310991,96.13852992,97.17091218,94.51066685,91.10811428
Japan,93.84973541,96.64021331,97.17406263,96.91163504,98.65600556,98.19776935,100.0,102.5578184,104.7595057,106.0523339,107.2552456,106.9946711,112.7161584,118.7397802,118.7409206
