Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,1.629198851,1.598437595,1.373782176,1.402090779,1.173223367,1.934840642,1.328512926,1.999618625,2.287192664,2.177140889,-0.428116428,1.624439263,2.934855814,3.341323841
Austria,0.357310599,0.620253315,1.108631785,0.991079123,0.501055156,0.975313104,2.047692369,0.397534617,0.688217124,0.443925491,-0.414546412,1.085831333,1.611251525,1.291398184
Belgium,1.964991589,-0.789645732,0.761437,1.107721864,0.398716426,0.133384338,0.051774665,0.310487234,1.290193329,0.984493364,-0.412286328,1.837401972,2.046137059,0.731926571
Canada,1.01858074,0.972615971,1.073476528,1.081682617,0.271091791,0.606176898,0.673929459,1.477489476,1.147405138,1.966673423,-1.49095827,2.561310276,1.49627883,2.573753105
Chile,9.568396976,3.843261889,1.477622733,1.55293398,1.87761389,1.545762676,1.589292073,2.728815308,2.63466473,1.963014579,-8.925580797,3.422828149,5.599058423,3.277816445
Colombia,3.746788922,2.825503426,2.897663907,0.902292216,1.532897949,2.146031574,1.214071868,1.575381846,1.481461471,1.597844587,-4.342591245,-0.323243305,4.899165661,2.221289039
Costa Rica,0.999580176,0.989687457,8.488416534,0.979867439,2.163549918,-0.351904566,-3.072135544,2.251313243,4.601242903,4.463046121,-2.370184295,1.422752741,0.542943193,-6.280584982
Czechia,-0.0999198,-0.861234484,0.6428021,0.935930604,-0.155955522,0.228871827,0.751904479,0.505628741,0.711851325,-0.058632343,-0.7386466,-0.150317855,-1.313882221,-1.862224657
Denmark,-0.697050015,-0.044196405,-0.522788552,-0.76869444,0.550685942,0.990522776,1.577595378,0.857437225,0.818066695,1.480501428,-0.228572372,1.319163014,2.309293498,1.472066638
Estonia,-0.735133561,0.898225546,-0.672213946,-0.493854258,-0.827175471,1.297449585,1.207641074,1.073908013,0.515150431,0.021354593,0.277550439,-1.021965154,3.395117054,3.699722607
Finland,-0.241764602,0.397679424,0.287059043,-0.524148955,0.125188016,0.358299198,-0.150617812,0.826854137,1.279979313,0.289051601,-0.319131526,1.618096411,1.621053954,0.757850108
France,0.367978871,0.04331416,0.827675076,0.503728723,2.71485799,0.318513581,0.180805096,0.12788849,0.381350304,-0.251752537,-0.942547569,2.545781679,1.603768067,0.902683521
Germany,-2.066291996,0.850743305,0.402334365,0.873511349,0.59427185,0.473886323,2.089530714,0.565693863,0.226418669,0.900631964,-0.581773238,-1.277831269,2.080439696,1.251983837
Greece,-0.231118694,-1.847764488,-0.932411558,-0.953456985,-0.677715896,-0.062361635,-0.065520577,-0.515142054,-0.769914744,-0.274618117,-2.105213085,-0.532897081,2.673332356,-0.28654204
Hungary,0.86902247,0.551549336,1.784625945,0.777257797,2.54741797,1.669029297,1.501646056,0.585993927,0.617805814,0.652253533,-0.28735786,3.844626432,0.987586692,1.133496748
Iceland,0.083717036,-0.432176216,0.042005041,2.505248425,1.993446204,2.409638554,2.640522876,1.54100866,2.282704126,2.182709994,-1.212048482,1.882896016,4.304280434,4.401005944
Ireland,-2.301679369,-0.978760237,-0.302582033,1.001551224,0.4429457,1.191122536,1.919497186,1.066835699,1.826260736,2.026307548,-0.512631611,6.436285097,4.961927953,3.285676146
Italy,-0.093599319,0.313646044,2.422528129,0.010888364,1.011042766,-0.06662891,1.066773344,0.618445485,0.156621088,-0.109205323,-2.804317632,-1.161476346,0.827222295,1.591521437
Japan,-0.27443609,-0.546612885,-0.459919642,0.420156931,0.242690835,0.247157178,0.806269022,0.806079209,1.735386272,0.919820019,-0.143457203,0.072440146,-0.077223207,0.336862981
Korea,1.523765899,1.733300797,1.543345543,1.267375307,2.788921838,1.183982531,0.975567359,1.201313136,0.532007867,1.042611792,-0.616969244,1.062712875,2.16054703,0.972871151
Latvia,-4.076629744,-2.676289636,0.243137446,-1.598389483,-2.169090461,0.19904258,-0.563252785,-0.847136174,0.196378475,-1.102145748,0.033458589,-3.244397561,1.725788438,-0.520193439
Lithuania,-0.65441814,-2.399420318,-0.614180137,-0.49743642,0.807043287,-0.553468061,0.590588035,-1.328212243,0.468131077,0.384024578,0.935135595,-0.720963531,2.534910158,2.392811636
Luxembourg,0.873743993,2.349501949,5.299904792,1.878641752,2.908983335,5.73974703,0.761214318,3.498516054,3.050052138,3.305506366,2.399804098,3.260263053,0.972672534,3.75382263
Mexico,1.456588688,2.060664082,3.031010605,1.089856344,0.264467457,1.889451998,1.464546066,-0.297802066,2.711934901,2.953292905,-5.813641808,7.927809824,3.010134075,2.232325685
Netherlands,-0.45011638,0.008309503,1.549163818,0.80381679,-0.410039101,0.410041088,0.374779233,0.855232338,1.164555702,1.626422881,0.445614582,3.775605551,2.549502715,2.034330683
New Zealand,0.776792767,1.253102818,0.261281894,1.301932523,3.364387042,2.585059096,4.525668417,3.731792349,2.113220751,1.387774241,1.799245793,1.330607466,1.159662706,3.797079956
Norway,0.486528397,1.068652225,1.871361771,0.937696134,1.02457495,1.402770633,0.292617523,-0.32337904,1.205277848,0.985870091,0.267780349,3.483343798,0.99641087,1.490024199
Poland,-0.903977036,0.570285581,0.691611525,0.120820658,0.389097214,-0.233815788,-0.736563623,0.03864554,-0.711336086,2.010408743,0.068161298,1.487841324,0.008220619,0.265402822
Portugal,0.058331624,-1.142724412,-0.831129581,-1.824390244,-1.112041756,-0.582371885,-0.316236354,0.787063192,0.263978652,0.374139908,-1.668071007,-0.71553406,2.651635208,2.64631696
Slovak Republic,0.629234787,-0.975357446,0.994291684,0.312159441,0.240296089,0.605270167,0.748612328,-0.154046903,-0.304938921,-0.176604461,-1.05420588,1.314285714,0.95336863,-0.083803413
Slovenia,-0.01920169,-2.114992198,-0.600873105,-0.550223297,0.707090756,-0.689808086,-1.309816179,3.204886509,0.679526523,-0.503181169,0.092392229,-0.896349017,0.725525761,-0.043802015
Spain,0.447756702,0.296303588,0.039985013,-1.079974321,-1.016689543,-0.142326894,-0.432562748,-0.353512649,0.285510758,0.965815642,-1.275464782,2.536818398,1.358993389,2.086708755
Sweden,0.825469897,1.366203016,0.862485613,1.101121375,1.329040013,0.784071676,1.029640439,1.977201798,1.12291717,1.178415614,0.258719294,1.371748323,1.436699477,1.707809962
Switzerland,-0.705989396,1.718413268,1.327928198,1.226010745,1.81457406,1.530900223,1.578618892,0.573617716,0.750536464,0.31897114,0.238213752,0.438305354,0.023207006,1.93481353
Türkiye,3.964963996,4.487707001,2.264633374,3.475493316,2.903436012,3.058584818,2.937223776,3.583253339,1.985746827,0.865011715,-5.147805115,6.137671754,4.806407525,1.64570979
United Kingdom,0.52842147,0.766793809,0.93145114,0.773307711,0.811201501,0.877132767,0.948895727,0.473358599,0.85503854,0.824137243,-0.120960647,-0.378735054,0.593839103,1.222415094
United States,-0.164393871,-0.176686252,0.883953372,0.267527711,0.342752263,0.774811476,1.309298867,0.711489366,1.094811745,0.903100416,-1.709931655,0.287167721,1.912670847,1.722106165
,,,,,,,,,,,,,,
© Terms & conditions ,,,,,,,,,,,,,,
