Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,0.737828647,4.249415184,3.943283752,11.4802137,1.98728302,0.1885058,3.283507992,-0.302567913,3.430760269,1.679805372,5.379691705,2.672006871,5.105567844,4.002753132
Austria,1.956268755,4.434097859,4.793568217,5.16750085,1.862981963,2.56049434,5.536952235,2.314539493,3.623616001,5.035727191,1.808148382,1.412368615,9.298482779,4.420387377
Belgium,4.683320424,3.374652531,4.022534938,2.672361175,1.297753503,0.087204861,2.539099606,2.855185189,3.584707273,5.054202604,3.321556878,1.131983061,9.094732476,7.17015875
Canada,0.273690964,-0.452951477,0.125259617,5.600978434,3.173809613,0.576157031,2.765980314,2.467740376,2.575423667,-1.855347941,10.93891678,3.86916249,5.68064313,7.730943488
Chile,2.02254237,8.951897587,7.385847129,5.45899317,1.206983951,1.069285832,4.209975501,4.037171313,3.813026313,2.464703739,-1.729705994,0.942084084,7.750966451,9.72237855
Colombia,6.367483655,1.640779928,-1.259429433,6.402916107,6.265673139,-5.58724667,3.381743299,3.554927856,6.027153651,4.516054977,-0.769642895,2.068533787,19.83878919,-1.528016968
Costa Rica,5.796155456,5.314017475,8.067360477,4.162907143,4.483919671,3.45470507,9.147962146,3.867843483,1.709643827,6.782615351,0.776849915,0.919533797,1.845614645,6.681376596
Czechia,2.594097349,5.293362941,2.984285628,3.494114851,3.682799843,1.185746126,7.249408572,7.719485558,8.004746504,8.063087355,1.61096333,3.069286511,5.926146712,2.733105613
Denmark,4.345227948,4.477751086,0.112503687,3.242252732,1.412399204,1.833057547,3.952080531,4.40922573,3.793854093,4.701055706,3.070280397,2.078783351,6.898324586,12.4072352
Estonia,3.322612401,6.861265399,4.207092542,6.336545091,4.274865469,3.625928975,9.558466693,5.422352206,4.202943798,7.34437796,4.897320489,3.464208672,3.157320592,2.716562077
Finland,2.015214258,2.43175101,1.726140507,2.852088665,0.400031421,1.260679961,4.274903312,2.885829004,3.258949899,4.167920412,6.213884486,2.136202675,4.608607115,3.864759011
France,2.628536432,3.913162628,1.488281861,5.385022851,2.203968483,1.844954826,3.39990086,1.763520094,3.433650737,6.826415739,-2.872104862,3.876949318,7.530665911,2.851528566
Germany,3.566264722,5.896954564,2.734954886,2.752625895,3.161648164,1.248666837,5.585196774,2.73135283,4.437850956,3.731934619,-1.103435653,1.944065025,10.41221796,2.854633395
Greece,-4.076543189,0.289651672,1.463508091,-1.817267649,4.376376681,-3.555289037,1.15363777,1.741213978,1.859144501,4.556845179,-6.136061505,7.502584848,11.4609557,5.691676732
Hungary,4.140747417,7.140224138,6.192623889,3.86458044,0.476009208,1.447415403,5.79207029,8.301866771,7.951827031,10.18148547,6.385244032,1.149919709,8.93461856,4.393576688
Iceland,-4.957341035,5.283684969,7.300502229,8.779890399,6.56156893,4.27684291,9.63971726,3.612416258,0.725666714,4.058280656,0.890672084,1.447887576,11.22953452,4.623224374
Ireland,6.707216122,1.535668582,2.955136761,2.721348134,-0.205627908,1.998898366,4.222869268,1.754427785,4.072462434,10.01492658,3.355980158,4.071767774,4.619121949,4.339832622
Israel,1.3080156,4.330022171,2.233288912,3.107125537,2.048941943,4.13083041,6.447435672,4.029268077,-0.398346349,2.555219664,3.902849231,4.776205281,5.159330699,6.772236015
Italy,2.758285259,4.178306772,3.461330251,3.285406551,0.893225409,0.798402811,5.683897438,1.798905539,2.151237939,5.085813184,4.137096184,-0.582547032,4.09029214,2.453452712
Japan,1.968256063,5.012281873,4.587899377,1.718395884,1.084613888,1.828965223,-0.886121742,0.526565973,2.114127668,0.220040492,-0.953807068,0.464108887,6.196613394,1.380429366
Korea,5.700941904,-7.507215978,4.993899976,1.791832535,2.035758979,4.669581079,4.13037912,1.277318577,7.566655257,2.913677708,3.273618695,3.360523016,8.462108867,6.768659412
Latvia,5.611063221,2.19342691,1.885441704,6.165018937,7.91748586,7.824804469,8.602186227,8.283599629,7.113598533,8.356175092,7.549156881,6.106175312,5.857354768,10.29689194
Lithuania,1.805090994,2.827155394,4.450543164,8.239925065,5.475871457,5.475166958,10.49389107,7.975339872,8.319753207,40.94727254,7.74749178,6.815454518,7.312144944,6.008098361
Luxembourg,-0.015236363,4.941117089,2.367786537,4.521844759,3.692837291,2.039975629,4.539936573,3.606916527,2.499919805,2.831129398,3.979504066,1.387266983,6.48969104,3.085769226
Mexico,-0.20609678,4.327100197,1.737801299,3.544922944,2.282826652,0.638776386,2.450860839,-0.758746501,1.950498517,2.911595129,0.021565013,7.152099794,12.08134819,1.784210258
Netherlands,1.122101367,4.577909096,2.253070599,6.120689759,-0.470749007,2.290792476,3.018870468,3.181395622,2.161042645,2.435933791,5.336270771,2.064709263,5.22070075,1.605283839
New Zealand,1.197975414,3.879157423,3.450911624,7.247550284,3.308605602,-0.010263947,5.732218833,3.135978502,0.110959341,6.969434651,3.110940745,-1.682297756,6.637930856,6.109063462
Norway,2.626736932,4.898156787,3.260545696,4.122953619,-0.275694142,-3.842912833,0.525858323,4.714887665,5.067754828,3.292785364,-0.047756103,8.845300206,12.04422828,6.767887157
Poland,8.321192728,6.369976195,4.10949301,5.60531571,6.5605438,3.765072733,5.332546589,6.327091103,7.091593852,8.436490725,12.39401001,-3.62988222,9.453498161,5.941465775
Portugal,6.658841762,-2.007877372,8.204426001,7.347680056,-1.014938878,-0.718073081,3.59528063,1.535199297,4.703296483,7.115800222,1.810228605,3.128738004,7.91945165,3.415136169
Slovak Republic,6.29821874,2.654059808,2.362014427,4.49595392,5.389959019,1.065960874,0.571407118,1.203970236,4.122045239,7.336868167,1.534385669,4.887396246,4.879478951,5.224958756
Slovenia,6.43996803,5.005397692,3.809573904,3.566587425,1.413302639,0.114864118,4.554798362,3.985487725,4.339360275,6.455345364,4.834550378,2.800531995,6.859991166,7.56776408
Spain,1.403439871,4.792824745,4.281840712,3.516703899,2.520719662,0.724191187,3.334743431,2.260270058,1.247201105,4.490491288,-5.916717811,5.145488898,7.430017926,3.207798656
Sweden,0.457160194,4.292203411,5.350761699,3.326151554,0.982702188,-0.008426004,2.99189375,2.211419415,2.537683112,3.500313666,2.487085082,1.980283196,3.325936132,1.434947242
