Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,0.016518591,0.0155393643175176,0.0138734617360266,0.0142365634521368,0.011488179,0.0192097891812228,0.0139046924713339,0.021888928,0.0232368436203739,0.0209410715112061,-0.00046717,0.0157340230073582,0.019719616,0.0308281862048118
Austria,AUT,0.003718566,0.00660585,0.0112382680757273,0.009770033,0.00538434,0.011740653889759,0.0184692956338822,0.00589749,0.008328546,0.004376171,-0.003682933,0.0103649390044893,0.015724693,0.0136272579585751
Belgium,BEL,0.0199053764588351,-0.003653196,0.007116172,0.01049069,0.003392671,0.002113325,0.001434175,0.0177817159709188,0.0114072456511658,0.009808998,-0.005125373,0.018061996,0.0212728622861772,0.008761576
Canada,CAN,0.0105662537914087,0.008484401,0.008853222,0.010658442305242,0.003286893,0.005440551,0.009515085,0.0133986382490413,0.0100818967344455,0.0206119107246057,-0.013840715,0.0236651091027162,0.019545224,0.035631795
Chile,CHL,0.0215017013728479,0.0380239983790584,0.009595513,0.014097083,0.0174717829789091,0.0117044594189103,0.011636063,0.0248424483299391,0.0211274402075867,0.0155215773181823,-0.042762859,0.0296077120456085,0.054545371,0.029672476
Colombia,COL,0.0219656647331986,0.0256429379447942,0.0267768298448302,0.005852431,0.0128132682742191,0.0168667946904222,0.008516691,0.016445866568688,0.0148394299318019,0.0109511607065697,0.006155069,0.0303264336420321,-0.003290334,0.0179425688207933
Costa Rica,CRI,-0.001743686,0.0429401913462558,0.080161229,0.006703898,0.0253360509704852,-0.005469806,-0.034946091,0.0168978065249551,0.053057442,0.045857988,-0.04535086,0.029672911,0.005653313,-0.053141267
Czech Republic,CZE,-0.003055929,-0.003225613,0.005954174,0.009273062,-0.000445636,0.001731452,0.008312877,0.005663036,0.007066748,-0.000636867,-0.008439762,-0.018071837,0.0184910649550049,0.02454251
Denmark,DNK,-0.007032342,-0.000465912,-0.00531547,-0.007384429,0.005130741,0.010434878,0.0149755783036288,0.008868492,0.008022238,0.0140133445128704,-0.001248896,0.0143678730526229,0.0234436627103728,0.0127830552994673
Estonia,EST,-0.008603424,0.008060422,-0.005635312,-0.005195953,-0.007890548,0.015231844060085,0.009458326,0.0130871983063625,0.005222104,-0.000643688,0.001289627,-0.000692974,0.045871742,0.0289998423921609
Finland,FIN,-0.003958984,0.005678865,0.002747472,-0.005337707,0.001464802,0.003549041,-0.00184899,0.007954402,0.0123535873851745,0.00328745,-0.002823235,0.017413016,0.016110351,0.012235501
France,FRA,0.003225234,0.000759453,0.00907953,0.009339846,8.596302207267678e-05,0.004088209,0.002296796,-0.000441539,0.005062985,-0.000891488,-0.008144158,0.0302834879636494,0.0117564871628093,0.008006279
Germany,DEU,-0.001157877,-0.005115979,0.003726669,0.00924745,0.005794637,0.00432878,0.020640418,0.005682979,0.002931563,0.0115537971173392,-0.020835361,-0.002338028,0.019062177,-0.000850332
Greece,GRC,0.002699989,-0.016736051,-0.009897038,-0.011064315,-0.010559273,-0.005873015,-0.005425822,-0.004844545,-0.006012385,0.000366352,-0.017762717,-0.005693691,0.0182653283884732,0.001861213
Hungary,HUN,0.007873333,0.0026832,0.0111776551774704,0.007990028,0.026162187166496,0.0175405242080397,0.014064664,0.00790905,0.006997806,0.005860813,-0.005084326,0.041471332,0.0117805872733724,0.004491326
Iceland,ISL,-0.001839044,-0.004353874,0.008057893,0.0208010411100942,0.0305243028383973,0.024425323,0.0288550277848685,0.01728646,0.018160584,0.017749135,-0.008903111,0.0156964291422908,0.041685401,0.03497572
Ireland,IRL,-0.022121704,-0.009273925,-0.002625272,0.0103368959212187,0.004766735,0.0121484006958633,0.0193717781110494,0.0103744753677519,0.018544037,0.0203799998666257,-0.005552739,0.0494568438658701,0.0558937413428635,0.036380654
Italy,ITA,-0.002684561,0.000814083,0.02269845,0.006310749,0.0158654188040411,-0.001399413,0.0108846942039114,0.006647146,0.002322483,-0.009854212,-0.030183693,-0.001497877,0.011465531,0.0157689670985019
Japan,JPN,-0.00351325,-0.006446022,-0.004568876,0.003844016,0.003252351,0.00139942,0.009120345,0.00800794,0.0167765257199101,0.009132175,-0.002245029,0.000103962,0.003817632,0.004048757
Korea,KOR,0.012996287,0.017718356,0.0154477690594662,0.0139150619245851,0.028253581113111,0.0145672560779559,0.009210708,0.0112044043904136,0.005944472,0.0102919462540302,-0.007251461,0.006597642,0.020450447,0.0104526347190973
Latvia,LVA,-0.041606387,-0.02476921,0.006653826,-0.018028598,-0.015204407,0.002038214,-0.006711136,-0.005241838,0.000280034,-0.01158455,-0.000538049,-0.032427266,0.0134780481762276,0.007141932
Lithuania,LTU,-0.016115112,-0.004969952,-0.00558973,-0.004759818,0.008298482,-0.005617848,0.006159026,-0.009802671,0.003464866,0.00285112,0.006652545,-0.005833847,0.016978776,0.0166933020668535
Luxembourg,LUX,0.0125952738294929,0.0242170860613709,0.0486428640918377,0.0364288585830472,0.0378263464120543,0.024448182,0.006086331,0.0336541143654114,0.0303556730937892,0.033858131,0.0198642781822269,0.034483615,0.0157786368602403,0.034828576
Mexico,MEX,0.0177324212909355,0.0215205952327023,0.0302582416789911,0.0146044967594045,0.00773064,0.0179754876230236,0.0131840349559855,0.0114131817324263,0.0189361105512715,0.026544154071369,-0.064354697,0.072899275,0.0302725644443219,0.0226503629515579
Netherlands,NLD,-0.002258636,0.001727909,0.012819534,0.004567377,-0.002436012,0.007019944,0.003469115,0.007114618,0.0125128798333183,0.017051894,0.004074763,0.0128332092275737,0.018755488144361,0.0219496569186541
New Zealand,NZL,0.009259287,0.014305474307363,0.002825545,0.006477881,0.0337762143192249,0.0255907943878066,0.043457978,0.037420567503521,0.019562098,0.0127184104127169,0.019797468,0.0139865211878734,0.011305395,0.035168536
Norway,NOR,0.002144512,0.008350497,0.017694022,0.009895002,0.009009139,0.0138731811959919,0.002768603,-0.003177973,0.01276256,0.0104165623556036,0.002407575,0.04701432,0.004439162,0.009519662
