Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,0.012378902045209902,0.012173913043478262,0.011071428571428572,0.010193548387096771,0.009303797468,0.009183673469387756,0.00896296296296296,0.01099173553719008,0.010751879699248118,0.00972027972,0.009568345323741007,0.011729323308270676,0.01083333333333333,0.010236686390532546
Austria,AUT,0.009774436090225564,0.011000000000000001,0.009487179487179486,0.010491400491400491,0.010281030444964872,0.00865603644646925,0.010368421052631577,0.010532994923857867,0.010915662650602408,0.009779249448,0.009796839729119638,0.011059907834101384,0.009833333333333331,0.010847457627118645
Belgium,BEL,0.009938144329896908,0.010933609958506224,0.009449715370018975,0.010522088353413657,0.010267175572519082,0.008568773234200744,0.010281995661605203,0.010569620253164557,0.01083832335329341,0.009889502762430941,0.009869646182495345,0.011283018867924528,0.00991638796,0.01087689713322091
Canada,CAN,0.011824817518248177,0.011049382716049383,0.010223463687150835,0.010109289617486339,0.009783783783783783,0.008618784530000001,0.009807692307692309,0.010784313725490196,0.010484848484848486,0.010057803468208093,0.009540229885057473,0.01210843373493976,0.010746268656716417,0.009907407407407408
Switzerland,CHE,0.01081227436823105,0.011953255425709514,0.009581005586592178,0.010291545189504375,0.010297450424929178,0.00954607977991747,0.009913544668587897,0.010101744186046513,0.01044604316546763,0.009931129476584023,0.01029126213592233,0.010956873315363881,0.010061500615006148,0.010819070904645477
Chile,CHL,0.012616279069767443,0.011566820276497696,0.010637450199203188,0.010374531835205994,0.009386281588447652,0.009307692307692308,0.010289256198347108,0.01108433734939759,0.010724637681159421,0.009391891891891891,0.009136690647482014,0.012440944881889763,0.009556962025316456,0.011125827814569535
Colombia,COL,0.012327586206896552,0.011713286713286713,0.011074626865671643,0.010296495956873318,0.009973821989528795,0.007690288714000001,0.009658703071672357,0.011024734982332156,0.010705128205128206,0.009670658683,0.008359133126934986,0.011814814814814816,0.010815047021943571,0.01052173913043478
Costa Rica,CRI,0.01224841178468801,0.01135533303134993,0.011045081520146766,0.01078718676616213,0.010209371333758432,0.010850791522233217,0.010426119230886478,0.010283620998660804,0.01031464718915329,0.01032000965221031,0.009686101694667645,0.010411105034914481,0.010659306103281163,0.012491827248153313
Czechia,CZE,0.010193236714975846,0.0109478673,0.009090909091,0.010142857142857143,0.009906103286384976,0.00895734597156398,0.010476190476190477,0.011212121212121213,0.011351351351351352,0.010198412698412696,0.009766536964980544,0.01159362549800797,0.010378006872852237,0.011357615894039736
Germany,DEU,0.009971264367816092,0.011008645533141211,0.009424083769633508,0.010583333333333332,0.01041994750656168,0.008614609571788414,0.010350877192982458,0.010621468926553673,0.01077127659574468,0.009777777777777776,0.009949494949,0.011040609137055837,0.009563218390804597,0.010889423076923074
Denmark,DNK,0.009969040247678019,0.010683229813664596,0.009505813953488372,0.010550458715596327,0.010231884057971015,0.008555240793201134,0.010331125827814569,0.010641025641025639,0.010692771084337346,0.009718309859000001,0.010318840579710144,0.01146067415730337,0.009852941176470589,0.010124378109452737
Spain,ESP,0.009533333333333335,0.01041958041958042,0.008926174496644295,0.010225563909774436,0.010147058823529412,0.008768115942028986,0.01024793388429752,0.01064516129032258,0.01083333333333333,0.009790209789999999,0.009214285714285713,0.011317829457364339,0.009931506849315068,0.011172413793103448
Estonia,EST,0.009944163640683824,0.011935818261289153,0.009971459869841158,0.010952613494789256,0.010630487664609794,0.0086162461981342,0.010535856295194967,0.011184166296339195,0.011366306640103503,0.010208539758450598,0.009983379025673358,0.011691911070734142,0.010314876194727547,0.010759640280217064
Finland,FIN,0.00984189723320158,0.01104417670682731,0.009345454545454544,0.010505836575875487,0.01011111111111111,0.008534798534798535,0.010257510729613737,0.010627615062761508,0.010787401574803153,0.009744525547445256,0.010112359550561799,0.010888888888888887,0.009523809523809525,0.010571428571428572
France,FRA,0.009814814814814816,0.010830188679245283,0.009337979094076654,0.010522388059701493,0.010141843971631209,0.008531468531000001,0.010122950819672133,0.01048582995951417,0.010733590733590734,0.009784172661870504,0.009742647058823528,0.011207547169811321,0.009427609427609429,0.010892857142857142
United Kingdom,GBR,0.01033195020746888,0.010682730923694778,0.01018796992481203,0.010258302583025831,0.011007194244604317,0.009575163398692813,0.009180887372013651,0.009962825278810407,0.010708955223880596,0.009930313588850175,0.009473684210526316,0.01162962962962963,0.009904458598726115,0.01086816720257235
Greece,GRC,0.009051987767584096,0.009560810811,0.008445229681978798,0.0099163179916318,0.009873417721518988,0.008333333333333335,0.009897435897435898,0.010362694300518132,0.01065,0.009718309859000001,0.009227053140096619,0.011413612565445024,0.010045871559633029,0.011095890410958905
Hungary,HUN,0.010076335877862594,0.010757575757575757,0.00908450704225352,0.01054263565891473,0.01036764705882353,0.008865248226950354,0.010320000000000001,0.011085271317829458,0.01125874125874126,0.01018633540372671,0.009573170731707315,0.011592356687898089,0.009725274725274725,0.011977401129943504
Ireland,IRL,0.009406779661,0.010855855855855856,0.009419087137,0.010704845814977977,0.010987654320987654,0.011310861423220978,0.01013245033112583,0.011405228758169936,0.011318051575931232,0.010303797468354428,0.010737100737100738,0.012151029748283753,0.010338983050847456,0.010036429872495447
Iceland,ISL,0.010453648249982937,0.011069335825415012,0.009691153305869246,0.010931126748887571,0.011080679146214044,0.009803862611958546,0.011870136519993715,0.011892504855505057,0.010619762104015794,0.009398531693,0.008763685438526103,0.011939594576267391,0.011140323986338676,0.010888040173685195
Italy,ITA,0.009683257918552035,0.010794392523364487,0.009090909091,0.010238095238095237,0.010093023255813953,0.008525345622119816,0.010216216216216217,0.010423280423280423,0.01065989847715736,0.00961904761904762,0.009455445544554457,0.011413612565445024,0.009633027523,0.010952380952380951
