Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,22.886431772235994,84.44331969321341,-12.20980871,-5.382173797,16.029713055633277,-25.80781995,-8.364998194,12.169231003526093,25.907531491565884,-36.15542076,-53.60231379,75.33082365,123.24660680102855,-53.81024335
Austria,AUT,-253.8966858,-204.4376941,-77.29449586,-124.7378692,-232.336049,-500.8001017,316.2555351,-149.2305952,-298.3982243,-54.60949161,-5.005860167,-258.2675188,-24.72145404,-79.5480561
Belgium,BEL,62.229715113572425,30.38600070123991,-92.782066,-350.9757959,-48.69974075,28.333624529404624,-394.8530624,-164.806932,11.565248259040573,-74.55111779,187.30206554046865,-216.2100464,-66.40485882,-123.3777548
Canada,CAN,41.82910647369975,29.021236082939094,28.771870225291796,35.76918106945088,-4.256827987,-6.526565294,-42.98377383,-25.85844166,68.01047554951629,14.877884975767719,-40.49521288,103.01850836257044,-15.45949778,-4.480292425
Switzerland,CHE,-62.92222895,17.507750110158216,92.36449429420648,-162.4043196,-184.2602062,465.40247837139333,40.46163433036918,-14.12761314,-211.7037616,-105.484321,-2846.465784,-51.45228216,-90.60775234,379.0026753964791
Chile,CHL,16.463279579642244,77.57880285611574,20.601508672588942,-33.58664135,20.86608467,-30.40425159,-36.04272497,-53.90952323,51.658461226372474,70.96462595934203,-15.6983534,32.579502011201654,20.160219296987613,19.19895697148979
Colombia,COL,-19.97271013,127.79272626485967,2.682659904471052,7.782190827412427,-0.25734869,-28.12946363,19.253894319294872,-1.133338013,-17.53308979,23.812146305908577,-46.68280177,28.191661298304528,79.70838645657506,-0.221150885
Costa Rica,CRI,18.10397037765179,43.333931331360766,-1.352725662,18.881084086159426,1.146970496954447,-8.840680843,-11.33763261,11.619118312422527,3.0645975162907346,-9.802886488,-22.65614498,70.84146571540258,2.2434318732829084,27.605875590505956
Czechia,CZE,92.87897311486273,-58.80404483,125.20394456104734,-22.00336254,9.936465670019112,-78.98398237,538.3033712098494,3.5401563257106528,-25.90244465,29.159749866125328,-20.80184077,51.382512776780274,-29.06961817,-10.04249602
Germany,DEU,51.736496692095635,13.36382573888406,-32.90324848,2.6841747395504267,-74.17143004,259.62435965187046,-6.866951703,87.13560306129007,49.145578056201565,-53.48969285,134.26046258783666,-42.2172066,-38.59068724,-68.8891925
Denmark,DNK,-412.0571848,-215.2196951,-220.5837653,-104.1611388,866.7753149570208,-71.97967347,323.44239968100226,-53.77669563,142.95404613170328,-143.3788624,-134.0384365,1213.4946086426255,81.32846768,-85.15009638
Spain,ESP,283.35137128628753,-26.70714006,-22.3000379,126.12357653487032,-32.18066027,-25.63145042,89.0989028,-25.32085831,90.47867822674773,-52.58971618,24.27284258892699,71.50104238255872,1.3337362662766639,-34.41163934
Estonia,EST,38.898320503977125,-56.82723153,59.70551253994265,-38.5712193,62.27163005,-140.1574782,-229.3930645,87.4968753,-26.60727197,144.39981329376948,22.794510357080377,97.60716098954083,-75.14439907,184.94814421391902
Finland,FIN,-238.4614867,-149.1686985,-182.0504843,-200.5836687,-453.7850744,0.1981516932245686,-70.26021348,223.43796859722613,-162.2668418,-254.6202562,-115.5749102,-1029.923176,-44.46110567,-101.9862821
France,FRA,111.09260744069883,13.670477182460461,-25.47436077,1.569084713388369,-84.86728053,751.8229736704985,-17.41105771,22.76567073747744,77.19490887160316,-30.96244904,-63.79613143,406.03235119980434,11.796913322430914,-91.96588822
United Kingdom,GBR,358.74787794640656,-59.52314124,73.07383039564506,16.51819299081252,8.109073540442079,-23.02064804,616.4968972842298,-61.40579349,-119.9869497,-178.9878832,694.2392544759513,-96.78344973,788.0184949026626,-299.2055413
Greece,GRC,-80.73500379,104.94203295455034,52.17940264513421,77.20287470777836,-8.417986931,-52.95591728,112.66157494947988,27.443951258271817,17.04836945653856,24.200741186162734,-33.92221274,85.62735320845766,29.604896100000765,-40.58790516
Hungary,HUN,601.6791562859346,-150.4177203,1.0055651730344728,-134.958278,-445.3037722,-142.466485,-1369.778469,-117.8130202,422.5476912576484,-251.999594,70.35424897056615,-79.99511259,-105.9347109,3534.5824422488467
Ireland,IRL,-30.06218045,-37.21768943,145.1139299574802,24.874872832553585,44.61472520891965,115.45698924731185,-64.69606572,-10.86658286,13.297122572928433,-61.21665998,12.91436694800443,120.25147539397057,-145.7728139,293.5247104580609
Iceland,ISL,304.1354231606465,330.75286057835973,-7.479402395,-53.85432465,62.243609060886044,49.426707911713905,-193.0631222,556.4736570251416,-91.10388705,-10.63958718,57.86446302284518,-152.9625823,200.50809524221393,-50.75733244
Italy,ITA,-40.20362507,247.06688487286272,-99.89873627,55862.27468798352,-12.79307368,-21.89491488,92.85737583663919,-65.94637304,406.4620674795517,-19.18467714,-147.6793547,-246.0515086,151.8970549583409,-33.01311291
Japan,JPN,-39.14041974,-111.4328639,-164.2943152,1846.8314361935195,85.49427323921334,-73.40951757,679.7501599596463,-54.08954462,34.50180820496567,58.01321948566991,56.616283465772234,-44.03240246,37.04969637548054,-58.37097387
"Korea, Rep.",KOR,5.270508429488241,2.9018468212352877,-2.835362734,34.44328604976885,-27.36045619,-55.74426329,194.93189737092175,47.987905124625144,-31.98979506,-20.91753813,-9.024007972,151.69026457803284,13.527859875614222,-39.39476217
Lithuania,LTU,-406.1363647,70.56476474656621,-63.99517402,13.508201588080082,-53.51336625,190.2005968231291,13.556980891109948,17.510948237972237,-6.062546519,164.20902952307355,32.79261914419451,-45.01417358,-3.52112984,58.35438090616138
Luxembourg,LUX,181.22711168784997,-53.91593163,-225.0233598,-447.9865075,-6.863936022,-26.48780028,-103.8874115,-1310.392208,45.52947807,708.7386325028136,-16.26717657,-64.74999874,-663.4965566,-91.94602368
Latvia,LVA,-416.6089783,219.90976617972905,-28.87360922,-8.46565977,5.642790988756108,-22.22387364,-58.73488,254.773662,-63.0979952,154.0908518773712,-15.81207147,297.51525988915165,-67.39799925,38.74545304717778
Mexico,MEX,55.327713054843386,-21.72130083,-23.70047459,179.33626300431808,-44.15924508,27.46886505529631,7.309132469043833,-14.87176449,14.322226283933915,-20.89658666,5.268912614405652,12.313210687998911,10.462953671704733,-22.78254844
Netherlands,NLD,-73.77694622,565.1339482883407,-26.74482253,19.61013900497244,-53.92777214,162.96977109907388,-26.75976228,-27.60032225,-243.3540846,-55.59440559,74.01574803149606,-47.9638009,-113.5326179,-2085.540812
Norway,NOR,150.51944956758314,-52.40733734,170.95078623774137,-104.9057593,-336.9007087,124.35373922253473,-356.6448977,-131.6071549,-195.9955738,-388.2927899,-125.1237266,-445.606066,1.3871897962259405,-25.42404014
New Zealand,NZL,-646.5381095,381.4452287236679,179.0810745925284,-101.8071752,-4777.167179,-102.2565389,-2836.860762,19.01909843,5.290837394877923,15.865981842121023,41.819881308430354,9.789180822751199,83.70820459993634,-56.93101301
Poland,POL,34.48128342245988,-0.053019458,-59.59896027,-82.37920168,1455.6631892697465,-24.22282895,14.15929203539823,-30.42635659,58.44011142061281,-4.500703235,5.649063749211014,86.75694513591556,11.377692471742385,-17.86500718
Portugal,PRT,60.52971180224844,9.525698633883394,117.86180646631715,-26.41173901,-23.49545986,-89.45679557,479.1124305,45.26335738623244,-26.56120482,31.53108137930618,-61.31939932,96.67467125713867,21.39959690438591,1.8390401252376343
Slovak Republic,SVK,39.10038718428126,156.7117865485941,-67.29198461,-43.49200602,-136.1504802,-518.9349946,213.62297080717644,-11.43712251,-46.66281818,1.2178862839567817,-150.078858,-338.2118201,77.48772261,-106.7896565
