Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,0.239194664,0.193431426,0.132491382,0.104519099,0.157609406,0.156927675,0.11149792,0.023828341,0.016600175,0.11137763,0.192628022,-0.060120789,-0.129641438,-0.023993854
Austria,AUT,0.01993824,-0.011314499,0.007114592,0.006564489,-0.016348243,-0.017997255,0.004464466,-0.015562194,-0.039417795,-0.043128305,0.188544538,0.001496001,-0.0317537,-0.027011126
Belgium,BEL,-0.008411423,0.0314892,0.005678908,0.007211035,0.004734346,-0.013433747,0.0036474,-0.024297432,-0.023211259,-0.024911607,0.126938064,-0.031772528,-0.04468471,0.010055102
Canada,CAN,0.009194494,0.020043803,0.007146176,-0.05934649,-0.047311438,0.063889572,-0.006679012,-0.037212649,-0.039557614,-0.014180654,0.550523233,-0.066124857,-0.107608974,-0.011662724
Chile,CHL,0.472615255,0.292722872,0.072992911,0.070775271,0.174880524,0.156787732,0.21444127,0.120903953,0.090750104,0.098126794,0.142981506,0.124949265,0.037602134,0.04280203
Colombia,COL,0.022088647,-0.014556423,-0.060528531,0.082002028,0.112132571,0.134233289,0.002051231,0.024517823,0.080172769,-0.016525749,0.287580287,-0.027279092,-0.047408937,-0.088811077
Costa Rica,CRI,0.080386057,0.050531438,0.144030768,0.039636708,0.068090852,0.061220147,0.100729773,0.068531481,0.102658374,0.087192801,0.193428254,0.012151718,-0.069015594,-0.030037961
Czechia,CZE,0.119596523,0.075288744,0.114591677,0.007979181,-0.05795626,-0.045849384,-0.050220688,-0.050270249,-0.045818097,-0.044031548,0.257636369,0.118829302,0.050214496,0
Denmark,DNK,0.047410901,0.075035181,-0.025692133,-0.035887742,-0.003295933,-0.127687099,-0.082188011,-0.046182122,-0.063310575,-0.035392814,0.310959616,-0.179452366,-0.201226575,-0.0220765
Estonia,EST,-0.086304472,-0.021410307,2.314018205,0.014153919,0.023497032,-0.030105944,-0.004432267,-0.085400795,-0.06773172,0.042207812,0.895400332,-0.030610633,0.06020722,0.056434206
Finland,FIN,0.135669676,0.036324253,0.110372707,0.050084819,0.064437508,0.060117971,-0.004513,-0.029105903,-0.018175224,0.00052488,0.152000414,-0.028816109,0.012773472,0.03146523
France,FRA,0.018603746,0.020253291,0.03429657,0.0393532,0.018826776,0.008332427,0.011266435,0.011364587,0.011286462,0.006475956,0.146082785,-0.009538242,0.000780309,-0.001202035
Germany,DEU,0.174105483,-0.04103867,0.012843814,-0.02183439,-0.035696633,-0.05098978,-0.039102291,-0.043402181,-0.048451903,-0.047364627,0.187235862,0.035116405,-0.013185083,-0.02005525
Greece,GRC,0.208099145,0.192095332,-0.103890371,0.101868105,0.023308857,-0.003751367,0.026552739,-0.006529114,0.07586974,-0.02867369,0.167238347,-0.055985525,-0.094571169,-0.047468294
Hungary,HUN,0.01828767,0.00873005,-0.025008031,0.010435402,0.006367013,-0.01715496,-0.00574162,-0.026988974,-0.030236639,-0.057998476,0.202893387,-0.040933696,-0.039670286,-0.032826285
Iceland,ISL,0.042058651,0.043592816,-0.030003494,-0.086747679,-0.044378928,-0.170153625,-0.14437022,-0.149655814,-0.115340789,0.039399317,0.172534377,-0.040697843,-0.106999133,-0.050377152
Ireland,IRL,0.386217297,0.26060137,0.082723519,-0.010691772,-0.131279277,-0.267815456,-0.017430975,-0.097172666,0.014260499,-0.084457338,0.006762037,-0.077327164,-0.167574106,0.015367915
Italy,ITA,0.024705345,0.005306868,0.060391799,0.052647058,0.027814447,0.002287411,-0.001486994,-0.001748725,0.005247323,-0.00110084,0.156033064,-0.055456235,-0.048700872,-0.021957969
Japan,JPN,0.038851238,0.073789441,0.049718073,0.037037822,0.01728723,0.009718322,0.025856629,-0.009601488,0.006069096,0.026193262,0.040704573,0.042952655,0.003324266,-0.043828714
Korea,KOR,-0.015721766,0.026123777,0.017860345,0.047356559,0.040972201,0.042909356,0.013046202,0.005168062,0.00468715,0.057756327,0.162160046,0.069501528,0.058890681,0.021944863
Latvia,LVA,0.244656313,-0.036596157,-0.04469689,-0.008376016,0.072281191,-0.102568676,0.11707149,-0.060103086,-0.026902917,0.010938236,0.17024741,0.105784697,-0.045356594,0.00244536
Lithuania,LTU,0.273143498,0.009752936,0.081831565,-0.027056399,0.051865299,0.056388087,-0.058784257,0.013497169,-0.139363386,0.068983869,0.2999632,-0.061832503,-0.123796398,0.010877573
Luxembourg,LUX,0.49084226,-0.043333769,0.134734502,0.107362443,-0.026037639,-0.043426144,-0.072861403,0.23563123,-0.003371305,0.077985895,0.148276384,0.05684739,0.016672865,0
Mexico,MEX,-0.017262383,0.032176713,0.014131796,0.096246403,0.064675851,0.074259721,0.062182367,-0.044955019,0.003810094,0.021236823,0.146942266,-0.002432999,-0.017580548,0.012358579
New Zealand,NZL,0.219529816,0.169991241,0.028977082,-0.032257531,-0.011550568,0.000441205,-0.023934968,-0.067300404,-0.097261147,0.133441823,0.359415485,0.097905463,-0.008314414,-0.02903098
Norway,NOR,-0.025410264,-0.208830049,0.043064767,-0.05534878,-0.214489092,0.004608553,0.072783477,-0.050618487,-0.067628035,-0.03079759,0.298232218,-0.181154288,-0.148787403,0.075458651
Poland,POL,0.063085121,0.014358798,-0.008253046,0.044382382,-0.107857328,0.011763554,0.079908213,-0.065551248,-0.0416756,-0.052214221,0.103821178,-0.078762814,-0.066493741,-0.018238616
Portugal,PRT,0.146892282,0.14951247,0.144007853,0.022714049,0.019054837,-0.01105768,0.006861727,-0.03143874,-0.031971479,-0.041153418,0.161063269,-0.070726676,-0.090364713,-0.104660883
Slovak Republic,SVK,0.080257472,0.052947077,0.193178958,-0.001495042,-0.013328888,-0.016757035,0.020424417,-0.020612085,-0.0269503,-0.030425763,0.224802147,0.027818275,-0.018581022,-0.056891957
Slovenia,SVN,0.069068077,0.251431021,0.135477082,0.299233977,0.145668003,0.015705388,-0.044611854,-0.003885089,-0.048057417,-0.07578869,0.240911271,-0.059312494,-0.033102052,-0.048574259
Spain,ESP,0.126677272,0.141244789,0.321555467,0.135023725,0.042463161,-0.005757911,-0.007011909,-0.002478846,-0.004014881,-0.021838693,0.225644037,-0.0287075,-0.036316794,-0.028046551
