Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,-0.054558642,-0.009108936,0.5076679744319437,-0.255715803,-0.121024306,0.2741284238646592,-0.273429574,-0.130696528,-0.116520206,-1.152913993,5.350071840440123,0.5772316387962332,-0.707334151,-0.692021589
Austria,AUT,0.11342561754499722,-0.407363976,-0.096638509,0.2175195366427793,0.35705021788485763,-0.405943905,0.6793125745042774,-0.48995219,-0.20398528,1.5696146560695163,0.37839888231645413,-0.433702552,-1.474436535,-2.734083165
Belgium,BEL,-0.163993161,-2.385810541,-0.959325644,-13.27935276,-0.204270475,0.5744889551300459,-0.584048568,0.3292281882205357,-2.348188481,-1.139294681,6.011683628393663,1.410132730508656,-1.62970607,-0.359517927
Canada,CAN,0.4264204512381352,-0.144692147,0.29821792521996504,-0.100217836,-0.279404013,0.30619536247615176,-0.135896684,-0.021721498,-0.109992931,-0.172975606,-0.021887951,-1.007705734,-30.71524405,1.0507402373207229
Switzerland,CHE,1.407374702091522,-0.430297583,0.3704138707299158,0.11340764107742947,-0.264644731,0.235300825,-0.187836863,-0.257757349,-0.01377221,-0.159244608,-0.909822117,18.84771254251391,0.4110519172379865,-0.249436318
Chile,CHL,-0.212875669,-7.349657387,0.15108704626015054,-0.068864032,-0.322070988,-0.261691542,-0.014583401,0.16547677064973818,0.7418163771508012,0.093490263,-0.658589019,3.636662878903399,0.139346476,-0.54517824
Colombia,COL,0.9361608739021122,0.1341589315293913,0.1957470587198109,0.062296295417271184,0.6027771351430007,-0.056326879,-0.327002114,-0.211511417,0.414796608,0.054676751838536625,-0.374230452,0.9369560172411351,0.18027460046943555,-0.569045859
Costa Rica,CRI,1.1653861722255545,0.8659738548174202,0.064471808,0.008327595,0.009019441,-0.216800846,-0.345599153,0.7408458700676002,-0.146845967,-0.589455539,-0.149352069,2.163688972041062,0.10132779112547274,-0.455010429
Czechia,CZE,0.5095593837974881,-0.317110668,-0.370824654,-0.649868202,-1.413892619,0.8466687112840473,3.0964569232566093,-0.134226102,-0.620169863,-0.196691978,3.9009168707645654,-2.328185019,1.2916066417940026,-1.075887712
Germany,DEU,-0.019607843,0.195,0.083682008,-0.011583012,0.11328125,-0.028070175,0.1371841155234657,-0.034920635,0.125,-0.087719298,-0.198717949,0.204,-0.38538206,0.4540540540540541
Denmark,DNK,0.8590615253954318,0.077475702,-0.097917605,0.30422061674672124,0.17491375874861054,-0.234476333,-0.079323426,0.1045140949683743,-0.090988983,0.15597004227179279,0.002696211,0.37509203821894255,0.31461537512783677,-0.138235371
Spain,ESP,-0.135212346,-0.234917173,-1.018390153,37.50244015517566,-0.153496585,0.025413227748123938,0.5977496480789319,-0.047603596,-0.287209514,0.1164092027091271,-0.644822516,0.057883069,-0.599048284,8.596554904569727
Estonia,EST,-0.35241375,-0.106359104,-2.419216517,-0.921517369,-5.139108573,1.432044625515448,-0.2857048,0.9162317512436579,-0.623003747,2.6379849272687452,-2.356896492,0.5964453002817897,0.078388399,-0.516899825
Finland,FIN,-0.34748531,-2.235408084,0.3521383212118151,-0.126334057,-0.24315477,-0.445409965,1.224096210609007,-0.670840762,1.8797377357416696,-0.907749908,-4.457582739,-0.328383925,-7.576781304,-0.801362707
France,FRA,-0.00310037,0.33940863875465205,0.1140853612103413,-0.487762046,0.6357653304991323,-0.703377016,0.6285323180781497,-0.076598581,0.6654162548602961,-1.781531935,-4.316616064,-1.136594267,-5.564254085,-0.082690978
United Kingdom,GBR,-0.060509873,-0.369377431,0.9609970185472185,0.5258711321281468,0.18461538461538463,-0.058441558,0.020689655172413793,-0.366570787,0.20536517378404656,-0.322437808,0.042016198,-0.826379243,4.122973211820166,-0.063615282
Greece,GRC,-0.158099577,-0.054962056,-0.784187247,-0.19814268,-0.245381795,-0.568536534,1.0237522331998847,0.105774597,0.7328153005716361,-0.501944611,2.9886217118031686,0.11639304588614738,0.6324975309264645,-0.336620462
Hungary,HUN,-0.844403734,-3.447963066,1.281051591060956,1.9268097503924646,-0.739997954,1.5152708570648068,1.1400293573682991,-0.565941267,-0.777057512,-2.821204899,0.3461721148816329,4.242316720968735,1.0854482772382776,-1.113567318
Ireland,IRL,-1.463247964,0.21958256341580384,-3.724822713,-1.756297694,-0.050621371,2.368798754270869,-1.195194358,-2.577939357,2.124055405269082,-5.665889975,-0.649935035,-3.222097149,-0.256331041,-0.076044361
Iceland,ISL,-0.287063158,-0.152712288,-0.275647238,-2.946922268,-0.230838257,0.26936892565181797,0.7447223001041277,-0.387994326,0.068033463,0.436365328,-0.849024098,-3.748004402,-0.081242119,-1.625477541
Italy,ITA,0.7751630547273805,-0.091047392,-0.928606444,-5.950877015,0.6621146811842299,-0.387509869,1.0409203645874359,0.052061638601520875,0.10473651591635298,0.20979273854113226,0.14981946554276704,-0.313559201,-1.635958554,-0.992451585
Japan,JPN,0.5136986301369864,-0.411764706,-0.537561541,-0.228528765,-0.216200588,2.7412518075156624,0.4485294117647059,0.030456852791878174,-0.128078818,0,-0.152542373,0.31333333333333335,-0.54174141,0.672630865
