Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,0.0,1.15,-3.41,-4.71,-1.23,-1.25,0.0,-2.53,0.0,0.0,0.0,-5.19,2.74,0.0
Austria,0.0,-1.27,-11.54,0.0,4.35,5.56,-1.32,0.0,1.33,1.32,-1.3,-2.63,-4.05,0.0
Belgium,0.0,5.63,0.0,0.0,1.33,1.32,0.0,-2.6,0.0,0.0,1.33,-3.95,0.0,0.0
Canada,2.3,-2.25,-3.45,-3.57,0.0,2.47,-1.2,0.0,-1.22,-4.94,0.0,-3.9,0.0,2.7
Chile,7.46,0.0,0.0,-1.39,2.82,-4.11,-5.71,1.52,0.0,0.0,0.0,0.0,0.0,-1.49
Colombia,-5.41,-2.86,5.88,0.0,2.78,0.0,0.0,0.0,-2.7,2.78,5.41,0.0,0.0,2.56
Costa Rica,0.0,-9.43,12.5,-1.85,1.89,1.85,5.45,1.72,-5.08,0.0,1.79,1.75,-6.9,1.85
Czechia,-6.12,-4.35,11.36,-2.04,6.25,9.8,-1.79,3.64,3.51,-5.08,-3.57,0.0,3.7,1.79
Denmark,0.0,1.08,-4.26,1.11,1.1,-1.09,-1.1,-2.22,0.0,-1.14,1.15,0.0,2.27,0.0
Estonia,-1.52,-1.54,0.0,6.25,1.47,1.45,0.0,1.43,2.82,1.37,1.35,-1.33,0.0,2.7
Finland,3.37,2.17,-4.26,-1.11,0.0,1.12,-1.11,-4.49,0.0,1.18,-1.16,3.53,-1.14,0.0
France,-1.45,2.94,1.43,0.0,-2.82,1.45,-1.43,1.45,2.86,-4.17,0.0,2.9,1.41,-1.39
Germany,-1.25,1.27,-1.25,-1.27,1.28,2.53,0.0,0.0,-1.23,0.0,0.0,0.0,-1.25,-1.27
Greece,-7.89,-2.86,5.88,11.11,7.5,6.98,-4.35,9.09,-6.25,6.67,4.17,-2.0,6.12,-5.77
Hungary,-7.84,-2.13,19.57,-1.82,0.0,-5.56,-5.88,-6.25,2.22,-4.35,0.0,-2.27,-2.33,0.0
Iceland,-2.3,-2.35,-1.2,-4.88,1.28,0.0,-1.27,-1.28,-1.3,2.63,-3.85,-1.33,0.0,-2.7
Ireland,0.0,-6.25,-8.0,4.35,2.78,1.35,-2.67,1.37,-1.35,1.37,-2.7,2.78,4.05,0.0
Italy,-9.3,0.0,7.69,2.38,0.0,2.33,6.82,6.38,4.0,1.92,0.0,5.66,0.0,0.0
Japan,1.3,2.56,-7.5,0.0,2.7,-1.32,-4.0,1.39,0.0,0.0,1.37,-1.35,0.0,0.0
South Korea,-1.82,0.0,3.7,-1.79,0.0,-1.82,-1.85,1.89,5.56,3.51,3.39,1.64,1.61,0.0
Latvia,-4.44,-2.33,16.67,8.16,3.77,1.82,1.79,1.75,0.0,-3.45,1.79,3.51,0.0,1.69
Lithuania,2.04,-4.0,12.5,5.56,1.75,1.72,0.0,0.0,0.0,1.69,0.0,1.67,1.64,-1.61
Luxembourg,3.66,0.0,-5.88,0.0,2.5,3.66,-4.71,1.23,-1.22,-1.23,0.0,1.25,-4.94,1.3
Mexico,-6.06,-3.23,13.33,0.0,2.94,-11.43,-3.23,-3.33,-3.45,3.57,6.9,0.0,0.0,0.0
Netherlands,-1.12,1.14,-5.62,-1.19,0.0,1.2,-1.19,-1.2,0.0,0.0,0.0,0.0,-2.44,-1.25
New Zealand,-1.06,2.15,-5.26,1.11,0.0,0.0,-1.1,-1.11,-2.25,0.0,1.15,0.0,-1.14,-2.3
Norway,0.0,4.65,-5.56,1.18,0.0,2.33,-3.41,0.0,-1.18,0.0,0.0,1.19,-1.18,0.0
Poland,6.0,3.77,5.45,3.45,1.67,3.28,-1.59,-3.23,0.0,-3.33,-3.45,0.0,-1.79,-1.82
Portugal,3.45,1.67,3.28,-1.59,1.61,1.59,-3.12,1.61,1.59,-3.12,-1.61,1.64,0.0,-1.61
Slovakia,-4.44,-6.98,15.0,2.17,6.38,2.0,0.0,-1.96,0.0,0.0,-2.0,6.12,1.92,1.89
Slovenia,-3.03,-7.81,3.39,-6.56,1.75,3.45,1.67,0.0,-1.64,0.0,0.0,-5.0,-1.75,0.0
Spain,0.0,1.64,4.84,-9.23,1.69,-3.33,0.0,-1.72,1.75,6.9,0.0,-1.61,-1.64,0.0
Sweden,0.0,1.09,-5.38,1.14,-2.25,2.3,-1.12,-4.55,1.19,0.0,0.0,0.0,-2.35,-1.2
Switzerland,-3.33,1.15,-2.27,-1.16,1.18,0.0,0.0,-1.16,0.0,0.0,0.0,-1.18,-2.38,0.0
Turkey,0.0,-4.55,16.67,2.04,-10.0,-6.67,-2.38,-2.44,2.5,-4.88,2.56,-5.0,-5.26,-5.56
United Kingdom,-1.3,2.63,-5.13,2.7,2.63,3.85,0.0,1.23,-2.44,-3.75,0.0,1.3,-6.41,-2.74
United States,-5.33,0.0,2.82,0.0,1.37,2.7,-2.63,1.35,-5.33,-2.82,-2.9,0.0,2.99,0.0
