Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Australia,163492908262.68402,237538204627.19803,297653383234.862,335050072090.336,361087911106.89197,384472259904.33,381655551856.044,429195320484.744,469969457409.13293,509477112363.576,579559477041.6581,638342858033.3619,603453451445.928,601932087527.622,,,,,,,
Austria,232885053623.9692,253360254661.49997,241954220747.025,255416384874.94434,258293617482.476,219515776447.6848,228710957072.80588,237298411037.9984,248631411293.369,232862988102.2512,271403662015.392,300635782179.8123,285822855925.9866,301629289921.73944,,,,,,,
Belgium,413015289741.5379,466397318299.2332,443437777436.02264,469650301099.74896,484379730676.8399,409528143135.8975,422813733340.9056,435710355913.6051,461052834564.642,444668446844.8643,494548377490.871,541029479549.54333,512488284272.4414,562427442415.3888,,,,,,,
Canada,712783722340.8859,806186425300.1019,827812276092.136,786448498375.12,732665987508.5751,671887984546.689,655171629669.093,680858253818.211,684082434703.212,681573727546.6371,1003432776329.1521,1136186853414.951,1091709555742.636,1069487752083.641,,,,,,,
Chile,18682290277.45338,27971107500.5615,31880309865.167496,35462354887.590004,38985408236.0605,42124863848.86,52613052945.525,65314946887.906,76325528437.6364,78836763851.93349,82259055267.8688,114929400602.2145,114187128200.8522,132244949497.3805,,,,,,,
Colombia,84571008337.5541,97438567104.80159,101303814597.9307,112982726211.84981,125371260416.90529,109470486737.6136,105668912875.776,119420709707.3459,138231587774.2034,131405030050.16321,141600218567.9952,162282816990.54,167598383265.63898,160746377472.8836,,,,,,,
Costa Rica,10576229257.9908,12616525966.811802,15942132567.669369,17878711629.964523,19495905687.179417,22449688587.349785,25764025575.34112,28310471710.929256,32199005881.558136,36126770043.94854,41761344725.74988,44006509148.39979,43670509593.51111,52913801901.3247,,,,,,,
Czech Republic,73161889912.9237,86217937727.12338,87350421177.2052,89161167229.94879,83160579826.3596,71145119680.2108,70806985163.11969,75189493246.0028,81597319031.08241,79490928293.3652,97757883988.855,126737258439.77399,138068137886.3415,,,,,,,,
Denmark,123024079305.2562,141269275979.496,130634975874.7044,132821588253.5178,135534468431.4621,101114418061.0932,96009551254.2946,97274939132.0658,97623485085.2895,91546498945.6451,123568300593.14731,116432332718.4576,91538244541.1496,90663466240.564,,,,,,,
Estonia,656546864.2319132,766864380.4402685,2534149321.7583804,2814840798.4813657,3062623515.2870917,2559387299.11115,2684581921.5494757,2746066795.8086047,2909855164.660336,3095917091.312458,5858249090.257835,6639747878.974885,7261166012.63224,8253659964.309898,,,,,,,
