Country,CCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,35554698682,65578266556,57571285655,54472699004,63204516348,46892808568,42970225978,48199372040,60686639530,38745129661,17976843681,31518948093,70364982117,32501414007
Austria,AUT,-22007325156,22983942932,5218620113,-1290975417,1708425860,-6847372584,-28502567388,14031983575,-27839206246,-12636357247,-12003798873,18998114634,14301504457,2924935669
Belgium,BEL,1.25492E+11,1.63624E+11,11810272331,-29640924980,-15205871358,-19514245855,57538351507,-37288840312,-41601387267,-10587088044,-30416922631,35347519889,11875049209,-2776119887
Canada,CAN,29714744325,38338330427,49368985104,67027866778,64174605786,59986208237,34201872161,25357801000,42603762049,48942300762,29123011879,59125104307,49984660122,47745201181
Switzerland,CHE,17670735603,20764483835,39943494322,-24926465857,21003091522,1.18752E+11,1.66801E+11,1.43236E+11,-1.60E+11,8774913614,-2.41E+11,-1.17E+11,-10988929764,-52637267567
Chile,CHL,14849443157,26369463389,31801970676,21120756844,25527831849,17766285629,11362832162,5237183518,7942631935,13579090979,11447397289,15176902319,18236599109,21737835925
Colombia,COL,6429989613,14647048638,15039979139,16210419016,16168701715,11620532646,13857937721,13700880445,11298692774,13989154028,7458624984,9561335277,17182521350,17144522052
Costa Rica,CRI,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2924906991,3014543618,2719031329,2103003649,3592802258,3673404329,4687479758
Czech Republic,CZE,10167834375,4188736491,9433199805,7357578653,8088661930,1699914617,10850612308,11234740946,8324668391,10752120871,8515481808,12890950336,9143600295,8225354599
Germany,DEU,86037502102,97535403953,65443087632,67199694459,17356720098,62418993509,58132711371,1.08787E+11,1.62251E+11,75463438451,1.76781E+11,1.02149E+11,62728998896,19515498092
Denmark,DNK,-11767861925,13558894634,-16349825685,680338945.9,6577348987,1842994663,7804020827,3607276300,8764023726,-3801733789,1294050740,16997286703,30820919526,4576876843
Spain,ESP,36609340306,26832032515,20848479096,47143326585,31972292815,23777330434,44962670966,33577736759,63958429157,30322872791,37683095972,64626902394,65488854829,42953066298
Estonia,EST,2592255115,1119148299,1787341527,1097942107,1781648554,-715465129.9,925762256.7,1735775304,1273932848,3113489502,3823194189,7554905496,1877817161,5350805152
Finland,FIN,12221047445,-6008929966,4930356141,-4959133089,17544672687,17579437753,5228087259,16909619227,-10529085854,16280099519,-2535610877,23579233205,13095645413,-260116463.7
France,FRA,38889439213,44205811127,32944663318,33461592994,5063648998,43133325471,35623357280,43733253504,77493098693,53499337504,19368829836,98012545019,1.09575E+11,8803377982
