Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,,
Afghanistan,2006,Total function,2229,,
Afghanistan,2006,"Agriculture, forestry, fishing and hunting",104,,
Afghanistan,2006,"Mining, manufacturing and construction",7,,
Afghanistan,2006,Transport,443,,
Afghanistan,2006,Communication,50,,
Afghanistan,2006,Fuel and energy,183,,
Afghanistan,2006,Environment protection,37,,
Afghanistan,2006,Housing and community amenities,36,,
Afghanistan,2006,Health,96,,
Afghanistan,2006,Education,324,,
Afghanistan,2006,Social protection,61,,
Afghanistan,2006,General public services,244,,
Afghanistan,2006,Defence,153,,
Afghanistan,2006,Public order and safety,216,,
Afghanistan,2006,"Recreation, culture and religion",22,,
Afghanistan,2007,Total function,3303,,
Afghanistan,2007,"Agriculture, forestry, fishing and hunting",246,,
Afghanistan,2007,"Mining, manufacturing and construction",30,,
Afghanistan,2007,Transport,330,,
Afghanistan,2007,Communication,76,,
Afghanistan,2007,Fuel and energy,280,,
Afghanistan,2007,Environment protection,12,,
Afghanistan,2007,Housing and community amenities,106,,
Afghanistan,2007,Health,203,,
Afghanistan,2007,Education,357,,
Afghanistan,2007,Social protection,116,,
Afghanistan,2007,General public services,357,,
Afghanistan,2007,Defence,256,,
Afghanistan,2007,Public order and safety,299,,
Afghanistan,2007,"Recreation, culture and religion",40,,
Afghanistan,2008,Total function,9288,,
Afghanistan,2008,"Agriculture, forestry, fishing and hunting",276,,
Afghanistan,2008,"Mining, manufacturing and construction",14,,
Afghanistan,2008,Transport,416,,
Afghanistan,2008,Communication,42,,
Afghanistan,2008,Fuel and energy,254,,
Afghanistan,2008,Environment protection,14,,
Afghanistan,2008,Housing and community amenities,108,,
Afghanistan,2008,Health,238,,
Afghanistan,2008,Education,451,,
Afghanistan,2008,Social protection,184,,
Afghanistan,2008,General public services,291,,
Afghanistan,2008,Defence,4442,,
Afghanistan,2008,Public order and safety,2194,,
Afghanistan,2008,"Recreation, culture and religion",40,,
Afghanistan,2009,Total function,8940,,
Afghanistan,2009,"Agriculture, forestry, fishing and hunting",381,,
Afghanistan,2009,"Mining, manufacturing and construction",15,,
Afghanistan,2009,Transport,331,,
Afghanistan,2009,Communication,23,,
Afghanistan,2009,Fuel and energy,119,,
Afghanistan,2009,Environment protection,27,,
Afghanistan,2009,Housing and community amenities,140,,
Afghanistan,2009,Health,268,,
Afghanistan,2009,Education,580,,
Afghanistan,2009,Social protection,146,,
Afghanistan,2009,General public services,583,,
Afghanistan,2009,Defence,3770,,
Afghanistan,2009,Public order and safety,2094,,
Afghanistan,2009,"Recreation, culture and religion",45,,
Afghanistan,2010,Total function,12898,,
Afghanistan,2010,"Agriculture, forestry, fishing and hunting",604,,
Afghanistan,2010,"Mining, manufacturing and construction",44,,
Afghanistan,2010,Transport,655,,
Afghanistan,2010,Communication,173,,
Afghanistan,2010,Fuel and energy,272,,
Afghanistan,2010,Environment protection,17,,
Afghanistan,2010,Housing and community amenities,96,,
Afghanistan,2010,Health,393,,
Afghanistan,2010,Education,825,,
Afghanistan,2010,Social protection,824,,
Afghanistan,2010,General public services,787,,
Afghanistan,2010,Defence,4193,,
Afghanistan,2010,Public order and safety,3402,,
Afghanistan,2010,"Recreation, culture and religion",59,,
Afghanistan,2011,Total function,17212,,
Afghanistan,2011,Environment protection,65,,
Afghanistan,2011,Housing and community amenities,124,,
Afghanistan,2011,Health,667,,
Afghanistan,2011,Education,886,,
Afghanistan,2011,Social protection,367,,
Afghanistan,2011,General public services,1102,,
Afghanistan,2011,Defence,6648,,
Afghanistan,2011,Public order and safety,4467,,
Afghanistan,2011,"Recreation, culture and religion",75,,
Afghanistan,2012,Total function,13683,,
Afghanistan,2012,Environment protection,56,,
Afghanistan,2012,Housing and community amenities,110,,
Afghanistan,2012,Health,444,,
Afghanistan,2012,Education,888,,
Afghanistan,2012,Social protection,319,,
Afghanistan,2012,General public services,1082,,
Afghanistan,2012,Defence,5528,,
Afghanistan,2012,Public order and safety,2895,,
Afghanistan,2012,"Recreation, culture and religion",68,,
Afghanistan,2013,Total function,13417,,
Afghanistan,2013,"Agriculture, forestry, fishing and hunting",243,,
Afghanistan,2013,"Mining, manufacturing and construction",11,,
Afghanistan,2013,Transport,358,,
Afghanistan,2013,Communication,32,,
Afghanistan,2013,Fuel and energy,50,,
Afghanistan,2013,Environment protection,60,,
Afghanistan,2013,Housing and community amenities,73,,
Afghanistan,2013,Health,367,,
Afghanistan,2013,Education,957,,
Afghanistan,2013,Social protection,198,,
Afghanistan,2013,General public services,623,,
Afghanistan,2013,Defence,6246,,
Afghanistan,2013,Public order and safety,2921,,
Afghanistan,2013,"Recreation, culture and religion",60,,
Afghanistan,2014,Total function,12258,,
Afghanistan,2014,Transport,283,,
Afghanistan,2014,Environment protection,39,,
Afghanistan,2014,Housing and community amenities,45,,
Afghanistan,2014,Health,434,,
Afghanistan,2014,Education,976,,
Afghanistan,2014,Social protection,514,,
Afghanistan,2014,General public services,671,,
Afghanistan,2014,Defence,5124,,
