Country Name,Year,Government Expenditure,US_dollars_at_current_prices_in_millions_Value,Unnamed: 4,Unnamed: 5,Country Code
Afghanistan,2006,Total function,2229.0,,,
Afghanistan,2006,"Agriculture, forestry, fishing and hunting",104.0,,,
Afghanistan,2006,"Mining, manufacturing and construction",7.0,,,
Afghanistan,2006,Transport,443.0,,,
Afghanistan,2006,Communication,50.0,,,
Afghanistan,2006,Fuel and energy,183.0,,,
Afghanistan,2006,Environment protection,37.0,,,
Afghanistan,2006,Housing and community amenities,36.0,,,
Afghanistan,2006,Health,96.0,,,
Afghanistan,2006,Education,324.0,,,
Afghanistan,2006,Social protection,61.0,,,
Afghanistan,2006,General public services,244.0,,,
Afghanistan,2006,Defence,153.0,,,
Afghanistan,2006,Public order and safety,216.0,,,
Afghanistan,2006,"Recreation, culture and religion",22.0,,,
Afghanistan,2007,Total function,3303.0,,,
Afghanistan,2007,"Agriculture, forestry, fishing and hunting",246.0,,,
Afghanistan,2007,"Mining, manufacturing and construction",30.0,,,
Afghanistan,2007,Transport,330.0,,,
Afghanistan,2007,Communication,76.0,,,
Afghanistan,2007,Fuel and energy,280.0,,,
Afghanistan,2007,Environment protection,12.0,,,
Afghanistan,2007,Housing and community amenities,106.0,,,
Afghanistan,2007,Health,203.0,,,
Afghanistan,2007,Education,357.0,,,
Afghanistan,2007,Social protection,116.0,,,
Afghanistan,2007,General public services,357.0,,,
Afghanistan,2007,Defence,256.0,,,
Afghanistan,2007,Public order and safety,299.0,,,
Afghanistan,2007,"Recreation, culture and religion",40.0,,,
Afghanistan,2008,Total function,9288.0,,,
Afghanistan,2008,"Agriculture, forestry, fishing and hunting",276.0,,,
Afghanistan,2008,"Mining, manufacturing and construction",14.0,,,
Afghanistan,2008,Transport,416.0,,,
Afghanistan,2008,Communication,42.0,,,
Afghanistan,2008,Fuel and energy,254.0,,,
Afghanistan,2008,Environment protection,14.0,,,
Afghanistan,2008,Housing and community amenities,108.0,,,
Afghanistan,2008,Health,238.0,,,
Afghanistan,2008,Education,451.0,,,
Afghanistan,2008,Social protection,184.0,,,
Afghanistan,2008,General public services,291.0,,,
Afghanistan,2008,Defence,4442.0,,,
Afghanistan,2008,Public order and safety,2194.0,,,
Afghanistan,2008,"Recreation, culture and religion",40.0,,,
Afghanistan,2009,Total function,8940.0,,,
Afghanistan,2009,"Agriculture, forestry, fishing and hunting",381.0,,,
Afghanistan,2009,"Mining, manufacturing and construction",15.0,,,
Afghanistan,2009,Transport,331.0,,,
Afghanistan,2009,Communication,23.0,,,
Afghanistan,2009,Fuel and energy,119.0,,,
Afghanistan,2009,Environment protection,27.0,,,
Afghanistan,2009,Housing and community amenities,140.0,,,
Afghanistan,2009,Health,268.0,,,
Afghanistan,2009,Education,580.0,,,
Afghanistan,2009,Social protection,146.0,,,
Afghanistan,2009,General public services,583.0,,,
Afghanistan,2009,Defence,3770.0,,,
Afghanistan,2009,Public order and safety,2094.0,,,
Afghanistan,2009,"Recreation, culture and religion",45.0,,,
Afghanistan,2010,Total function,12898.0,,,
