Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.46362098,88.70445344,86.25091174,83.62965448,84.63035019,70.68686857,69.39432485,68.66645784,70.06307803,67.76537128,76.97498196,76.44847408,74.91104695,73.58085476,74.63801246,75.24646859,84.68677411,83.5416514,85.34296869,84.60655842,72.98075045,70.41932838,71.25560569,72.9607784,72.10898119,71.14466196,76.27553323,85.31389125,81.45449651
Africa Eastern and Southern,AFE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75642024,19.61881885,21.17988226,21.28346572,24.10943527,25.96128905,26.43770367,26.06944463,27.22065381,25.69265962,25.84942834,26.56177796,27.64384694,26.1306706,26.84470871,28.0097805,29.37625355,31.66892444,35.94404122,31.55924668,29.89570508,32.12437921,33.15815465,34.16771033,33.05327355,30.89960671,28.39680623,26.53479029,28.47610726,26.70045568,24.21393,26.29078997,29.96438522,27.60701209
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.28907741,37.06956358,54.50542721,50.49820699
Africa Western and Central,AFW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2167467,49.57989074,45.19958873,41.06469436,31.15729583,40.15428452,48.88967965,63.68884384,42.58051942,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272022,25.5417235,17.03878307,27.62748819,26.71922262,25.29942841,26.18490922
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,23.53660059,22.28995962,24.7376437,21.55859246,20.07535159,19.1144514,16.03112475,16.12964208,19.9184766,21.472733,24.03189957,28.58570134,96.28588075,64.53950296,41.11889039,34.96976538,33.27511148,35.22842897,36.67036856,34.16926739,43.33878759,45.1576132,47.57945205,46.17317459,44.82962655,47.85935563,49.05748251,54.95421469,52.14933338,49.85416579,48.563955,51.97703179,47.57271286,46.95739871,47.19484414,44.53361519,45.83196365,46.62445122,44.5800603,44.44602493,36.97994088,44.45729608,47.50097911,43.82860281
Andorra,AND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.21390581,38.23660762,37.84155015,37.11353704,32.88670632,33.61817682,32.05692272,31.89346659,33.44515489,31.3300082,29.92457843,30.77681246,31.68421385,32.56156313,35.1229866,35.11023655,35.01632096,39.37957867,40.16485989,41.69774055,36.80135059,35.37208637,36.08682998,37.27913799,38.50451943,41.02647871,38.62151715,39.38604515,37.04062488,37.9537713,37.3336148,37.03102768,37.31292545,40.86046608
United Arab Emirates,ARE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546,43.56831143,46.37697028,53.05488271,51.96756025,50.84287191,64.41405537,69.64565532,73.8086265,59.49942345,59.85405957,62.33550724,63.09289637,66.43501435,72.64843107,73.31370808,73.06650085,65.92579627,73.20851889,85.05039349,83.70584849,85.13320941,93.72166461
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,7.604046979,5.994945316,9.383682891,7.890452033,5.563714075,4.150582972,4.989688034,4.997064147,5.403711423,6.398713317,4.735877405,6.607956034,6.837877358,5.70950079,6.28900906,5.978672496,5.921496328,7.326394155,5.715406434,6.329769174,6.48369978,7.371927999,6.520993021,5.83614942,4.756486117,6.27332705,6.324055248,7.57576407,6.211845636,6.579388793,4.631322407,6.078010811,8.132793114,9.313799914,10.60439714,10.09101283,11.07787165,12.77532874,12.93444601,11.55557045,11.63606955,10.27324737,13.37012736,14.7138051,16.84502668,17.30539424,17.40678527,18.28242031,18.341773,14.49614185,16.03718986,16.75694585,14.28868291,14.71675561,14.00131506,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.59828437,15.0119804,15.29969356,13.89126635
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.33273703,60.12046681,61.25600438,60.75417041,73.10132525,62.18693624,55.98955662,58.27447567,52.83943191,49.80223219,50.07191142,45.718412,46.15239348,49.56836971,44.87989017,42.82654063,38.88415655,38.7856901,40.27659839,42.603335,44.89456066,46.9123854,48.39986448,49.20156302,47.21848531,41.95668313,42.3336876,48.98633088,53.08021299,54.76335277,39.72382062,43.76344883,51.1857978,60.26255729
American Samoa,ASM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.765625,109.5419847,111.9842829,123.6,129.4117647,120.6563707,135.3571429,82.81481481,94.41535777,98.77192982,100.9375,102.0376176,108.0870918,98.81129272,95.23099851,102.2875817,103.599374,94.89953632,95.14563107,92.53333333,77.72675086,
Antigua and Barbuda,ATG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.02947212,59.35588907,61.99812539,63.4013125,68.18460455,68.4165334,52.43479516,54.13940407,62.94042293,
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.03635488,14.99857752,12.60891562,13.80959809,13.74052986,15.24101061,15.10478612,13.86998271,14.46129618,13.31135129,13.19839592,12.91457162,11.95339858,11.00116414,13.19351258,14.71174357,13.36188797,14.63021672,14.57086018,15.33519153,15.8861634,16.71632975,16.80598203,15.6023314,14.9831768,17.26644671,18.03622425,17.0530021,16.61213499,16.9474313,17.03792658,16.16080629,16.38631639,17.8599326,18.4866818,19.83337569,19.34291045,18.85334986,20.43513679,20.73505123,21.5449829,22.0663781,20.72243095,21.14435418,19.84714538,20.93637419,21.70590795,21.8245161,22.69789909,22.72987797,20.72532703,20.41388479,21.6711378,21.29631015,21.39641963,21.59780564,21.69533522,20.94711419,21.84197454,22.0278239,20.63771691,18.24580429,20.2901822,22.42594293
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,27.57665158,27.45264497,27.47296113,27.64573934,30.57311502,28.61658706,31.2863019,32.45074617,30.67303856,32.56399432,35.27008522,35.5350765,32.50292908,32.11979695,33.95699529,35.30010804,32.14278346,31.57118026,33.62332432,35.66284507,35.93169669,35.59735015,34.61046638,31.92620515,33.96158469,34.86000483,36.03158072,38.03004244,38.78793104,39.05362039,42.25151627,43.14444654,41.93344031,42.05650373,44.25502108,45.72360311,47.58256938,48.4744752,49.14531302,42.11358242,48.06090044,51.48302149,51.51529895,51.09555303,50.64058289,49.72156947,48.91009251,51.23003708,52.6757305,52.31147751,48.28512414,55.07890903,62.42077807,57.34935279
Azerbaijan,AZE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.22237381,41.20508982,54.59637767,76.02802548,30.62820923,53.4070672,55.92110078,53.04435931,54.52827995,41.85584488,38.3777368,37.31657762,50.05030928,65.54537186,72.71810743,52.9007786,38.75825501,28.51289646,23.46675902,23.108296,20.68126693,24.08106448,25.28838935,26.26001169,26.20966854,34.80673042,43.64966934,41.85445095,37.58028267,36.76751791,36.39431178,29.79811852,26.99542519,34.57398246
Burundi,BDI,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.39285783,14.65517299,16.39344216,14.28571441,12.08053731,12.53428946,12.99218038,11.88577655,13.36681223,12.0945743,11.62101972,14.17168014,15.07496967,13.33273113,15.53393773,19.00177059,16.65287675,17.29141892,20.2264008,22.72214152,23.29206503,22.0376957,26.90744599,24.74775974,23.55230979,20.78690239,22.3156305,25.73863173,25.95318325,22.9435654,27.77514726,28.50518278,29.47695089,27.16103576,28.48175853,27.27828356,15.75340125,14.43990665,19.44027986,15.9639877,16.23475389,15.78484345,16.98802523,20.99489805,24.62336989,28.89999868,35.1,31.99999864,36.69999932,29.20000329,29.80000376,34.20000255,34.00927787,37.50882302,34.29900461,16.42100985,16.65920307,16.21371877,20.91404815,23.85417,22.22401,23.81837,23.34422185,24.32986266
