Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
GBR,0.45470025,0.370491975,0.3346818,0.4049434,0.3034571,0.238020825,0.477109675,0.985397625,0.474913175,0.608418,1.17974905,0.873398625,0.522126775,0.278900475,0.2779857,0.518952963
CHE,0.136902967,0.106110467,0.2579369,0.1841134,0.267629767,0.32018265,0.570924975,0.6721454,0.355586725,0.392811567,0.628351325,0.82063965,0.646859475,0.526008825,0.41605715,0.420150749
IRL,0.253597875,0.1424384,0.3883495,0.5028134,0.30358395,0.1444157,0.250232225,0.3375143,0.507382525,0.247385975,1.0944172,0.5170226,0.40240855,0.5247115,0.32619765,0.396164757
CHL,,0.131703333,0.0961958,0.0928686,0.258577725,0.126432975,0.337096425,0.2318584,0.223354633,0.29807205,0.444201,0.43990735,0.932510025,1.04564575,0.817112025,0.391109721
TUR,0.2331182,0.217655375,0.32091675,0.47478435,0.231531175,0.392007375,0.72211465,0.513119575,0.373288,0.304825125,0.331389875,0.203652975,0.278705375,0.318319575,0.51247935,0.361860515
MEX,0.2072111,0.2831883,0.3314517,0.2817539,0.2250533,0.1322813,0.182527625,0.215969625,0.50434105,0.6606808,0.5809583,0.399743175,0.411783825,0.36459195,0.20155125,0.332205813
NOR,0.198428975,0.171397975,0.381022325,0.244605067,0.1967631,0.361054475,0.2680305,0.584127575,0.297223833,0.168031167,0.16715795,0.471554725,0.449945125,0.306235375,0.326479975,0.306137209
ESP,0.223281775,0.300401125,0.43890205,0.2975231,0.23734175,0.169996967,0.236812025,0.41354285,0.343611075,0.294684525,0.44324795,0.2933894,0.134553225,0.322756925,0.408394925,0.303895978
ITA,0.2036245,0.1441781,0.37591415,0.450709325,0.320874325,0.212768075,0.227256825,0.3774767,0.3789798,0.28155595,0.45738565,0.328735125,0.1359084,0.32163665,0.150829533,0.291188874
COL,0.33098705,0.126643767,0.270079425,0.225324067,0.20906695,0.287621267,0.21958045,0.3506243,0.242848967,0.38390725,0.0987913,0.22958235,0.3738209,0.8472546,0.1322104,0.288556203
NLD,0.4573803,0.4663861,0.0951203,0.323517533,0.202024125,0.2245464,0.297323433,0.407428225,0.372439375,0.1909611,0.309688125,0.385697925,0.14936095,0.211044425,0.1571477,0.283337734
